orig.ident,nCount_RNA,nFeature_RNA,Sample,Condition,Doublet,cell_type_1,S.Score,G2M.Score,Phase,nCount_SCT,nFeature_SCT,SCT_snn_res.0.5,seurat_clusters,percent.mt,percent.rib,RNA_snn_res.0.6,RNA_snn_res.0.8,RNA_snn_res.1,RNA_snn_res.1.2,RNA_snn_res.1.4,Celltypes,CelltypesDetailed,RNA_DebrisFilt_res1,cell_class,AddModuleScore_FA95,AddModuleScore_FA96,FA_95_UCell,FA_96_UCell,UMAP_1,UMAP_2
snRNA_MCAO_all,1014.20602420068,715,sn_D3,7DPI,Singlet,OLIGO,-0.016687926481581,-0.00374330714860035,G1,4887,1505,0,0,0.130562060754391,0.892400582632883,0,0,0,2,9,OLs,OLs2,0,Oligodendrocyte,-0.00987940081618373,-0.006444026971881,0.0260983036102653,0.0258353427488804,12.342129296666545,-0.011562413608028566
snRNA_MCAO_all,3593.36950047613,2095,sn_D3,7DPI,Singlet,Glutamatergic 5,-0.0129469865265496,0.0407779576353626,G2M,5428,2097,8,6,0,0.199664834974186,8,7,7,6,5,NeuronsGLUT,NeuronsGLUT2,6,Neuron,-0.0270403235388498,-0.0248220439470166,0.0335798173118748,0.0332414743368928,-0.5987850958047685,5.297125541533039
snRNA_MCAO_all,1484.54709251494,1160,sn_D3,7DPI,Singlet,MG,-0.0188871422356917,0.240233433238798,G2M,4511,1756,6,9,1.33660703971173,0.609469844814169,10,9,9,10,10,Microglia,Microglia1,9,Microglia,0.126112862112761,0.115962374629385,0.0846237494562854,0.083771098863245,3.0856605237783614,0.8967921965966681
snRNA_MCAO_all,1983.13793585515,1159,sn_D3,7DPI,Singlet,OLIGO,-0.0229034915215092,-0.00383562190844641,G1,5318,1502,0,0,0,0.301137425719323,0,0,0,2,0,OLs,OLs1,0,Oligodendrocyte,-0.0112771113399055,-0.0100811966069502,0.0273959692619979,0.0271199334022276,13.460294312840862,2.689733945692585
snRNA_MCAO_all,6382.54750423881,2656,sn_D3,7DPI,Singlet,GABAergic 3,-0.0374658503483118,-0.0224649131672992,G1,6541,2599,11,8,0.0603366424470888,0.115928135151859,5,6,6,9,7,NeuronsGABA,NeuronsGABA4,8,Neuron,0.0203945348710688,0.0192312476196596,0.0328041177323474,0.0324735905385234,-7.911206656092244,-6.931371486817791
snRNA_MCAO_all,4794.03875611087,2530,sn_D3,7DPI,Singlet,OPC,0.00341181679508464,0.00642669682354375,G2M,5639,2514,10,13,0.233391125610381,0.856988876761618,12,13,13,14,15,OPCs,OPCs,13,Oligodendrocyte,0.0607483454385064,0.0720606949428798,0.0511961722488038,0.0572324606728671,8.261666840917034,-9.623883045350507
snRNA_MCAO_all,4378.85183470899,2617,sn_D3,7DPI,Singlet,MG,0.166460855892509,0.355440150629634,G2M,5252,2597,6,9,2.07454468811353,0.417959266773318,10,9,9,10,10,Microglia,Microglia1,9,Microglia,0.0870817009660684,0.0777987730439925,0.0633318834275772,0.0626937650706166,2.8247936433614913,1.2848078840623358
snRNA_MCAO_all,7461.12885492052,3046,sn_D3,7DPI,Singlet,Glutamatergic 3,-0.00783946414021468,0.013771209279973,G2M,6836,2984,5,4,0.0398005180323477,0.169531442796643,6,5,5,4,3,NeuronsGLUT,NeuronsGLUT1,4,Neuron,-0.0115089493383114,-0.0159186333312165,0.0418442801217921,0.0414226662073717,-4.238504343622761,14.574308597410724
snRNA_MCAO_all,2762.02396887532,1599,sn_D3,7DPI,Singlet,GABAergic 3,0.0355482100211552,-0.0354146561019823,S,5504,1671,11,12,0.0235858457266117,0.32739100853156,1,12,12,13,13,NeuronsGABA,NeuronsGABA5,12,Neuron,-0.0227217818749864,-0.0144105252325728,0.042337248078874803,0.0419106671259617,-7.982439451807576,-3.609605825578167
snRNA_MCAO_all,11112.8134673548,3731,sn_D3,7DPI,Singlet,Glutamatergic 9,0.00971960008685457,0.0133263252326433,G2M,6872,3198,19,6,0,0.0987240629182677,8,7,7,6,5,NeuronsGLUT,NeuronsGLUT2,6,Neuron,0.0150749841473491,0.02939446624639,0.049354791938524,0.0563928120335285,-2.4127337270913896,6.740292751158283
snRNA_MCAO_all,7050.85774150992,3205,sn_D3,7DPI,Singlet,Glutamatergic 2,0.00690260394230224,-0.0543644314039778,S,6792,3179,3,6,0,0.131754713416162,8,7,7,6,5,NeuronsGLUT,NeuronsGLUT2,6,Neuron,0.0296197652229908,0.0411526030971214,0.046831955922865,0.0525103341370996,-0.9783335262475785,7.588355743254231
snRNA_MCAO_all,5511.63011873617,2617,sn_D3,7DPI,Singlet,Glutamatergic 6,0.0116805635187583,0.00128586882293971,S,6031,2577,3,3,0.518606651146149,0.221106547601849,3,3,3,7,8,NeuronsGLUT,NeuronsGLUT3,3,Neuron,0.0480438525155206,0.0521072873282336,0.0433594316369436,0.0429225513836261,3.0419877237142745,9.162488185728595
snRNA_MCAO_all,10782.398391201,3544,sn_D3,7DPI,Singlet,Glutamatergic 2,-5.2900850533282e-4,0.0129684660541547,G2M,6798,3129,3,6,0,0.0772268445794005,8,7,7,6,5,NeuronsGLUT,NeuronsGLUT2,6,Neuron,0.021746689723941202,0.033169555448722,0.0359576627519211,0.0419106671259617,-2.085802488916951,7.608748161161945
snRNA_MCAO_all,1758.45098495298,1117,sn_D3,7DPI,Singlet,ASTRO,-0.0231949497019436,-0.0416933161354672,G1,5114,1581,4,5,0.27119378051424903,0.471650288925354,4,4,4,5,4,Astrocytes,Astrocytes,5,Astrocyte,0.132841768182593,0.147205796119973,0.0787153835000725,0.0840581582271214,3.739783114797038,-10.4440381890883
snRNA_MCAO_all,24487.5880028554,4917,sn_D3,7DPI,Singlet,Glutamatergic 2,-0.0258985983117054,0.0153521866889749,G2M,6278,2509,3,3,0,0.0536711687900602,3,3,3,15,14,NeuronsGLUT,NeuronsGLUT6,3,Neuron,-0.00753918119890043,-0.00388802705082258,0.0438958967667101,0.0434536112067976,0.1008515423597518,9.53819009002547
snRNA_MCAO_all,1328.40326148753,920,sn_D3,7DPI,Singlet,OLIGO,-0.0162303868066429,-0.00555688268597623,G1,4999,1537,0,0,0.140280121942306,0.332339602979739,0,0,0,2,9,OLs,OLs2,0,Oligodendrocyte,-0.030637726429073,-0.0277912839277441,0.0201754385964912,0.019972155241704,13.019484109288616,0.580719941223667
snRNA_MCAO_all,1773.49861666395,1141,sn_D3,7DPI,Singlet,OLIGO,-0.023836401781954,0.0172639406590678,G2M,5117,1567,0,0,0.142850552618365,0.594185459668097,0,0,0,2,0,OLs,OLs1,0,Oligodendrocyte,0.0793647247454631,0.0838038795797032,0.059953603015804,0.0593495234814559,12.08463150919096,1.0441263550172308
snRNA_MCAO_all,2418.58468252624,1447,sn_D3,7DPI,Singlet,GABAergic 5,-0.00388712441079997,0.0233251819912695,G2M,5391,1600,18,12,4.71658107797715,0.646992820359793,5,12,12,13,13,NeuronsGABA,NeuronsGABA5,12,Neuron,0.027367799690791,0.0306001199094146,0.0461323763955342,0.0456675565506947,-6.794890814417439,-4.512119091187908
snRNA_MCAO_all,2215.78229173996,1284,sn_D3,7DPI,Singlet,OLIGO,0.0508171703098585,-0.00712446044182071,S,5167,1570,0,0,0.075076577469125,0.445635340560967,0,0,0,3,0,OLs,OLs1,0,Oligodendrocyte,-0.0300774467241794,-0.0337890481434861,0.0276569522981006,0.0273782868297164,13.345983094579143,2.8469094866166573
snRNA_MCAO_all,3295.96199101279,2004,sn_D3,7DPI,Singlet,PER/Endo,-0.0197151857563899,0.0375940588944509,G2M,5098,2075,13,15,0.47301875778141,0.767904255888528,14,15,15,17,17,EndothelialCells,EndothelialCells,15,Endothelial_Pericyte,0.0360437731401107,0.0370495558425527,0.0525880817746847,0.0520582156389942,5.830540723210735,-14.15419558349748
snRNA_MCAO_all,15236.7473734019,4943,sn_D3,7DPI,Singlet,GABAergic 1,0.0169764333266726,0.0156578285718115,S,6574,3116,1,2,1.88083792840394,0.220848357663924,2,2,2,1,2,NeuronsGABA,NeuronsGABA2,2,Neuron,0.0544382497479814,0.0530301422275976,0.0676888502247354,0.0670068320128603,-9.069077902430134,-8.936072147523358
snRNA_MCAO_all,5134.05424822613,2353,sn_D3,7DPI,Singlet,GABAergic 1,-0.0113438429960041,-0.00422020609838553,G1,5874,2344,1,2,0.0616709586557669,0.290240080888359,2,2,2,1,2,NeuronsGABA,NeuronsGABA2,2,Neuron,-0.00191595333187039,-0.00854848942188563,0.0223357981731187,0.0221107475025836,-8.507964544886189,-8.897206104432538
snRNA_MCAO_all,2471.08972781869,1638,sn_D3,7DPI,Singlet,Neuro 1,-0.0126945369356729,-0.0183119567204098,G1,5384,1760,2,1,0,0.237988643053202,1,1,1,0,1,NeuronsGABA,NeuronsGABA1,1,Neuron,0.00791429708906385,0.00540069104018912,0.0507612005219661,0.0502497416465725,-5.293238573664265,-0.22112540069718567
snRNA_MCAO_all,6153.93467090681,2881,sn_D3,7DPI,Singlet,Glutamatergic 3,0.034241340171749,-0.00800282451807541,S,6409,2843,5,4,0.00978673837063937,0.0846313424801374,6,5,5,4,3,NeuronsGLUT,NeuronsGLUT1,4,Neuron,0.050096444944382,0.0551528394529007,0.0519283746556474,0.0524959811689057,-3.340910368555623,13.711566173399493
