"","UMAP_1","UMAP_2","cell_type_1","Condition","scissor"
"265",-3.47268765508516,13.6328918569932,"Glutamatergic 3","7DPI","Scissor-"
"266",12.7392831510367,0.504256718720005,"OLIGO","7DPI","Background"
"267",5.77149254739897,-13.3731592065444,"PER/Endo","7DPI","Background"
"268",12.8020415967764,3.11536594566207,"OLIGO","7DPI","Background"
"269",-8.11215441762789,2.45256777938704,"Glutamatergic 1","7DPI","Background"
"270",2.43882114351408,8.92152997192244,"Glutamatergic 6","7DPI","Scissor-"
"271",12.1679492658438,2.79991527732711,"OLIGO","7DPI","Background"
"272",3.20451099336759,-9.72533778015275,"ASTRO","7DPI","Background"
"273",-7.52612917959078,-6.46347645584245,"GABAergic 3","7DPI","Background"
"274",-8.14499514638765,-1.7254764205565,"Neuro 1","7DPI","Scissor-"
"275",-2.50213664113863,8.30273457702498,"Glutamatergic 2","7DPI","Scissor-"
"276",1.57552207172529,-14.0683925515761,"VLMC","7DPI","Background"
"277",0.334418392783565,9.67317124542098,"Glutamatergic 2","7DPI","Scissor-"
"278",1.14809662759916,8.2755138510118,"Glutamatergic 2","7DPI","Scissor-"
"279",12.0576091474356,1.41843899425368,"OLIGO","7DPI","Background"
"280",11.8037706083121,1.96256467040877,"OLIGO","7DPI","Background"
"281",-1.93494194089754,14.7123834722887,"Glutamatergic 3","7DPI","Background"
"282",12.893620080358,2.1085421675096,"OLIGO","7DPI","Background"
"283",-3.26999681531771,14.8058569067369,"Glutamatergic 3","7DPI","Scissor-"
"284",2.22158212125914,9.30781575378279,"Glutamatergic 6","7DPI","Scissor-"
"285",12.2775083249869,1.84272941287856,"OLIGO","7DPI","Background"
"286",-1.04493527948244,5.34491273101668,"Glutamatergic 5","7DPI","Scissor-"
"287",3.15509397447721,8.98710557159285,"Glutamatergic 6","7DPI","Scissor-"
"288",2.80428583086149,-8.49094561401506,"ASTRO","7DPI","Background"
"289",-8.47987978994234,-7.50682429138322,"GABAergic 1","7DPI","Background"
"290",-6.44455903112276,-0.108913219605877,"Neuro 1","7DPI","Background"
"291",-5.59118121206148,-0.162507123385861,"Neuro 1","7DPI","Background"
"292",-1.60741513311251,0.37533243831496,"GABAergic 2","7DPI","Background"
"293",-2.11827796041353,0.266071426610158,"GABAergic 2","7DPI","Background"
"294",-7.89156477987154,-3.96104410949845,"GABAergic 3","7DPI","Background"
"295",0.0544759696783248,3.6496696108232,"Glutamatergic 7","7DPI","Scissor-"
"296",-7.32217543660982,-6.4958541757216,"GABAergic 3","7DPI","Background"
"297",12.2724948591055,-0.25057960215707,"OLIGO","7DPI","Background"
"298",-7.46817057668551,-1.12721351448198,"Neuro 1","7DPI","Background"
"299",12.7268624967398,2.87268420394759,"OLIGO","7DPI","Background"
"300",12.018767899877,2.30307193931441,"OLIGO","7DPI","Background"
"301",1.48120946348326,8.8547317617784,"Glutamatergic 6","7DPI","Scissor-"
"302",-7.2373995119272,-0.37686595979829,"Neuro 1","7DPI","Background"
"303",4.14202339113371,0.604873501623676,"MG","7DPI","Background"
"304",-2.39386241971834,7.51441594299178,"Glutamatergic 2","7DPI","Scissor-"
"305",12.2330976194205,-0.0505238539328119,"OLIGO","7DPI","Background"
"306",3.56034428537504,-7.1151168710341,"NB","7DPI","Background"
"307",2.85471636713163,8.8113968008409,"Glutamatergic 6","7DPI","Scissor-"
"308",-2.94111888944491,14.4999725454698,"Glutamatergic 3","7DPI","Scissor-"
"309",7.80792242944853,-9.08768538299699,"OPC","7DPI","Background"
"310",2.53965491712706,9.01487942870955,"Glutamatergic 6","7DPI","Scissor-"
"311",-7.37514060079439,-10.6225364572157,"GABAergic 1","7DPI","Scissor-"
"312",-2.56786482869967,-0.306532776986553,"GABAergic 2","7DPI","Background"
"313",12.4286962217154,1.7611449592958,"OLIGO","7DPI","Background"
"314",-8.72924464284761,-9.17651633087297,"GABAergic 1","7DPI","Background"
"315",0.743178379765314,6.04254122909407,"Glutamatergic 4","7DPI","Scissor-"
"316",-1.87002437650545,14.3074228399644,"Glutamatergic 3","7DPI","Scissor-"
"317",7.42030674875395,-9.96592978302141,"OPC","7DPI","Background"
"318",-7.11306183873995,-0.984705126916363,"Neuro 1","7DPI","Background"
"319",-8.75859683095797,-9.97594622436662,"GABAergic 1","7DPI","Background"
"320",-3.96452420293673,14.0018846624742,"Glutamatergic 3","7DPI","Scissor-"
"321",-0.211428993338185,8.223087512816,"Glutamatergic 8","7DPI","Scissor-"
"322",-3.4995974832712,12.8182537191759,"Glutamatergic 10","7DPI","Scissor-"
"323",-8.53824084340914,2.81381579574446,"Glutamatergic 1","7DPI","Background"
"324",-1.37643855153902,0.166968294347332,"GABAergic 2","7DPI","Background"
"325",-4.02214901983126,13.7266313665758,"Glutamatergic 3","7DPI","Scissor-"
"326",0.909580937630099,6.47617264922957,"Glutamatergic 4","7DPI","Scissor-"
"327",5.67043024957792,-13.4374206430068,"PER/Endo","7DPI","Background"
"328",-8.66035597860201,-10.6044566995253,"GABAergic 1","7DPI","Scissor-"
"329",3.50610405862944,0.14554904487233,"MG","7DPI","Background"
"330",-3.28919976293429,14.695008479918,"Glutamatergic 3","7DPI","Scissor-"
"331",2.76800090730802,1.5950185888658,"MG","7DPI","Background"
"332",2.12234134138243,7.97935362991195,"Glutamatergic 6","7DPI","Scissor-"
"333",-5.90401356756075,0.357938752437637,"Neuro 1","7DPI","Background"
"334",1.62790221632139,8.65902920898299,"Glutamatergic 6","7DPI","Scissor-"
"335",-7.73959010183199,-9.07798365417619,"GABAergic 1","7DPI","Background"
"336",12.9935222333731,2.47019144233565,"OLIGO","7DPI","Background"
"337",-0.112493985289174,5.37247105773787,"Glutamatergic 4","7DPI","Scissor-"
"338",-1.04818087159975,4.4845564001451,"Glutamatergic 5","7DPI","Scissor-"
"339",-8.85415213643892,-10.1965854531874,"GABAergic 1","7DPI","Scissor-"
"340",12.3736987775625,0.393671669925258,"OLIGO","7DPI","Background"
"341",-0.759914212816792,4.45264073547225,"Glutamatergic 5","7DPI","Scissor-"
"342",7.19967991769926,-9.73960284057756,"OPC","7DPI","Background"
"343",12.3421292966665,-0.0115624136080286,"OLIGO","7DPI","Background"
"344",-0.598785095804768,5.29712554153304,"Glutamatergic 5","7DPI","Scissor-"
"345",3.08566052377836,0.896792196596668,"MG","7DPI","Background"
"346",13.4602943128409,2.68973394569259,"OLIGO","7DPI","Background"
"347",-7.91120665609224,-6.93137148681779,"GABAergic 3","7DPI","Background"
"348",8.26166684091703,-9.62388304535051,"OPC","7DPI","Background"
"349",2.82479364336149,1.28480788406234,"MG","7DPI","Background"
"350",-4.23850434362276,14.5743085974107,"Glutamatergic 3","7DPI","Scissor-"
"351",-7.98243945180758,-3.60960582557817,"GABAergic 3","7DPI","Background"
"352",-2.41273372709139,6.74029275115828,"Glutamatergic 9","7DPI","Scissor-"
"353",-0.978333526247579,7.58835574325423,"Glutamatergic 2","7DPI","Scissor-"
"354",3.04198772371427,9.16248818572859,"Glutamatergic 6","7DPI","Scissor-"
"355",-2.08580248891695,7.60874816116195,"Glutamatergic 2","7DPI","Scissor-"
"356",3.73978311479704,-10.4440381890883,"ASTRO","7DPI","Background"
"357",0.100851542359752,9.53819009002547,"Glutamatergic 2","7DPI","Scissor-"
"358",13.0194841092886,0.580719941223667,"OLIGO","7DPI","Background"
"359",12.084631509191,1.04412635501723,"OLIGO","7DPI","Background"
"360",-6.79489081441744,-4.51211909118791,"GABAergic 5","7DPI","Background"
"361",13.3459830945791,2.84690948661666,"OLIGO","7DPI","Background"
