sample,group,species,platform,data_type,tissue
SAMPLE 35,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 36,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 37,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 38,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 39,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 40,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 41,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 42,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 43,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 44,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 45,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 46,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 47,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 48,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 49,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 50,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 51,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 52,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 53,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 54,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 55,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 56,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 57,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 58,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 59,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 60,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
