"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
-0.912612641201319,6.93260007021268,1.21197146498053e-11,1.5048645690175e-09,"L1cam","GSE104036","Mouse"
2.74320877286236,3.80169675813764,1.27270080152817e-11,1.56890131181189e-09,"Plin2","GSE104036","Mouse"
8.1087987952843,-0.984796014314668,1.36544158478113e-11,1.67120296823034e-09,"Rfpl4","GSE104036","Mouse"
3.34005748911477,0.767703969537981,1.5335211573298e-11,1.8636088674359e-09,"Csf2rb2","GSE104036","Mouse"
1.2083915791359,4.11329084949418,1.73607601888219e-11,2.0949058157427e-09,"Ptbp1","GSE104036","Mouse"
-0.75301808087433,7.62823215374041,1.77580147188239e-11,2.1278572182311e-09,"Rph3a","GSE104036","Mouse"
-0.832154144380679,5.61646332393173,1.81068289330075e-11,2.1545869011603e-09,"Pcsk1","GSE104036","Mouse"
-1.33736169132912,2.98075474167338,1.85135640699310e-11,2.18779255405702e-09,"Plk5","GSE104036","Mouse"
-0.942583558985407,4.90755534445349,1.8955107913979e-11,2.22462858976733e-09,"Mtfp1","GSE104036","Mouse"
-0.802255742065979,6.43388733620392,2.04129486856381e-11,2.3794277260436e-09,"Ptn","GSE104036","Mouse"
2.32549251128926,2.32189679060087,2.14164187475791e-11,2.47952929216059e-09,"Parp3","GSE104036","Mouse"
4.45959208016536,-0.256258195285317,2.20094642359596e-11,2.53108838713536e-09,"Fgr","GSE104036","Mouse"
2.8567940629089,0.367640820309158,2.28246156166683e-11,2.60733192394407e-09,"Gm15737","GSE104036","Mouse"
3.90577474350432,2.12296886007122,2.38550630811288e-11,2.7069967277824e-09,"Timp1","GSE104036","Mouse"
0.989352300014472,5.16256989015266,2.76314562282659e-11,3.11490133204826e-09,"Sat1","GSE104036","Mouse"
2.05256023485247,1.13954506775651,3.06443919682439e-11,3.43197161029973e-09,"Rsad2","GSE104036","Mouse"
4.90993238167634,-1.04808331313219,3.13687870339834e-11,3.4902867910864e-09,"Bcl2a1b","GSE104036","Mouse"
-0.860624231239382,5.94335565948558,3.25043407024329e-11,3.59330243829799e-09,"Shisa4","GSE104036","Mouse"
1.68383652892819,1.52123632504736,3.34953648793316e-11,3.67912228979069e-09,"Gldn","GSE104036","Mouse"
