"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
3.11091000486546,2.03749675951865,6.63892281459393e-17,2.9936300638965e-14,"Slc15a3","GSE104036","Mouse"
6.79494402318079,2.73352567195451,9.15861619557047e-17,4.02392021823333e-14,"Ccl2","GSE104036","Mouse"
1.97972427598577,3.73619478661194,9.7055087830815e-17,4.15759732495254e-14,"Mvp","GSE104036","Mouse"
3.25124099500681,0.246590139620208,1.3327433072138e-16,5.56989184612403e-14,"Muc2","GSE104036","Mouse"
-1.29549962297378,3.6004888128811,2.61248389621252e-16,1.06583122765718e-13,"Rasl10a","GSE104036","Mouse"
-1.3847492405516,3.59024798676233,2.72234434592566e-16,1.08482256668456e-13,"Abca9","GSE104036","Mouse"
6.15131343363414,0.479372343920512,4.94893773803336e-16,1.88121921395211e-13,"Cxcl10","GSE104036","Mouse"
1.86733412675161,2.5587957541676,4.98141603477048e-16,1.88121921395211e-13,"Bag3","GSE104036","Mouse"
-0.954450042027092,7.30431483579566,5.05025292336138e-16,1.88121921395211e-13,"Tubb3","GSE104036","Mouse"
3.3364462061492,3.50027404982481,6.8828330322146e-16,2.50930519163824e-13,"C3ar1","GSE104036","Mouse"
5.95913252328923,-0.536361485874627,1.04731118186217e-15,3.73868272941841e-13,"Duox2","GSE104036","Mouse"
-0.920339750688556,8.09648543190123,1.07708613775035e-15,3.76650427966373e-13,"Slc8a2","GSE104036","Mouse"
-1.93705787395411,3.25725803081471,1.15190622079421e-15,3.94758261866176e-13,"P2ry12","GSE104036","Mouse"
3.04197733973919,3.59105143734376,1.76473978501449e-15,5.92917965023985e-13,"Socs3","GSE104036","Mouse"
2.43117236211247,7.95973524538727,1.91528461310686e-15,6.31123112415115e-13,"Gfap","GSE104036","Mouse"
2.5580001226919,7.22323302683787,2.0069948022368e-15,6.48865206345804e-13,"Neat1","GSE104036","Mouse"
1.93712266701136,2.27286579516105,2.46089902496812e-15,7.80879718385718e-13,"Baz1a","GSE104036","Mouse"
-1.6157644490114,4.03287141636354,3.21134569298389e-15,1.00048015362326e-12,"Itm2a","GSE104036","Mouse"
-0.985219721935485,7.97944661208389,4.13461771499692e-15,1.26511918832986e-12,"Stmn3","GSE104036","Mouse"
7.90437745091509,-1.20154443921076,4.55148628203498e-15,1.36824065688894e-12,"Vmn1r56","GSE104036","Mouse"
-0.955785598660462,8.35448336641053,6.34116247377244e-15,1.87337618944984e-12,"Unc13a","GSE104036","Mouse"
