"Name","Score","Gene"
"1368027_at",0.000167656264173351,"1368027_at"
"1367595_s_at",0.000170828812938685,"1367595_s_at"
"1383786_at",0.000172426198303053,"1383786_at"
"1387893_at",0.000172426198303053,"1387893_at"
"1371575_at",0.000182166040764236,"1371575_at"
"1367635_at",0.000190486205772085,"1367635_at"
"1368010_at",0.000192172448444715,"1368010_at"
"1372070_at",0.000193866093471979,"1372070_at"
"1373575_at",0.00019556714048144,"1373575_at"
"1384507_at",0.00019556714048144,"1384507_at"
"ILMN_1753312",0.000199823905144597,"ILMN_1753312"
"ILMN_3310546",0.000199823905144597,"ILMN_3310546"
"1375211_at",0.000199823905144597,"1375211_at"
"1367577_at",0.000199823905144597,"1367577_at"
"1368420_at",0.000204183392226876,"1368420_at"
"1367568_a_at",0.000216556923648696,"1367568_a_at"
"1388763_at",0.000216556923648696,"1388763_at"
"1367559_at",0.000218354162538109,"1367559_at"
"1387952_a_at",0.000232998326055579,"1387952_a_at"
"1380692_at",0.00023486212246092,"1380692_at"
"1370882_at",0.000236733312284333,"1370882_at"
"1386913_at",0.000238611895153551,"1386913_at"
"1377340_at",0.00024239123854036,"1377340_at"
"1367663_at",0.000244291998313447,"1367663_at"
"1389351_at",0.000257804259470791,"1389351_at"
"1367925_at",0.000263706070251915,"1367925_at"
"1393038_at",0.000283858925673463,"1393038_at"
"1368430_at",0.000294212280896265,"1368430_at"
"1382950_at",0.000298405301361238,"1382950_at"
"1388460_at",0.000302627847861973,"1388460_at"
"1372013_at",0.000309017022419431,"1372013_at"
"1388114_at",0.000313313370988363,"1388114_at"
"1392280_at",0.000326379498506073,"1392280_at"
"1398756_at",0.000333012152370728,"1398756_at"
"1387806_at",0.000339711186248976,"1387806_at"
"1398246_s_at",0.000341958946920188,"1398246_s_at"
"1374731_at",0.000348746471862446,"1374731_at"
"1391737_at",0.000369507146026034,"1391737_at"
"1370623_at",0.000376560037059159,"1370623_at"
"1367794_at",0.000381298807491951,"1367794_at"
"1377727_at",0.000398116568548764,"1377727_at"
"ILMN_1735552",0.000399640323396989,"ILMN_1735552"
"ILMN_3170239",0.000399640323396989,"ILMN_3170239"
"1370891_at",0.000399640323396989,"1370891_at"
"1371244_at",0.000412819037823452,"1371244_at"
"1367975_at",0.00041777876820215,"1367975_at"
"1376652_at",0.000422767947268442,"1376652_at"
"1367618_a_at",0.000463741175765802,"1367618_a_at"
"1369665_a_at",0.000468995259230178,"1369665_a_at"
"1390659_at",0.000468995259230178,"1390659_at"
"1373421_at",0.000474278761653035,"1373421_at"
"1376390_at",0.000479591680062077,"1376390_at"
"1367661_at",0.000479591680062077,"1367661_at"
"1370244_at",0.000487616206148117,"1370244_at"
"1367826_at",0.000490305752950096,"1367826_at"
"1367623_at",0.00051208675979183,"1367623_at"
"1375892_at",0.000520375902703236,"1375892_at"
"1367671_at",0.00052593873700429,"1367671_at"
"1389553_at",0.000528731174748631,"1389553_at"
"1388571_at",0.000531530959060322,"1388571_at"
"1367715_at",0.000557059552119828,"1367715_at"
"1382311_at",0.000580250957317388,"1382311_at"
"1367710_at",0.000586122214877043,"1367710_at"
"1388711_at",0.000589068852553931,"1388711_at"
"1377594_at",0.000594984143845601,"1377594_at"
"ILMN_2279961",0.000599449254944189,"ILMN_2279961"
"ILMN_4760255",0.000599449254944189,"ILMN_4760255"
"1368353_at",0.000599449254944189,"1368353_at"
"1388244_s_at",0.000618938800404755,"1388244_s_at"
"1369959_at",0.000634148862191384,"1369959_at"
"1368921_a_at",0.000665118929515227,"1368921_a_at"
"1371037_at",0.000674552891668138,"1371037_at"
"1370154_at",0.000696821945928465,"1370154_at"
"1388297_at",0.0007064757204537,"1388297_at"
"1375181_at",0.000712948194093264,"1375181_at"
"1374537_at",0.000722711833067333,"1374537_at"
"1371297_at",0.000725981025512135,"1371297_at"
"1377698_at",0.00074574993847685,"1377698_at"
"1377034_at",0.000769146734488471,"1377034_at"
"1378321_at",0.000772518407366616,"1378321_at"
"1367580_at",0.000786078267665185,"1367580_at"
"1373245_at",0.000796324979731478,"1373245_at"
"ILMN_1812926",0.000799250699973207,"ILMN_1812926"
"ILMN_6900440",0.000799250699973207,"ILMN_6900440"
"1375028_at",0.000803192694995737,"1375028_at"
"1389210_at",0.000813549121306615,"1389210_at"
"1372685_at",0.000817015889504383,"1372685_at"
"1387818_at",0.000820489970131299,"1387818_at"
"1372056_at",0.000823971362816624,"1372056_at"
"1367560_at",0.000827460067189625,"1367560_at"
"1389815_at",0.000848545818108527,"1389815_at"
"1381279_at",0.000852085693915267,"1381279_at"
"1387202_at",0.000859187371324224,"1387202_at"
"1388392_at",0.000862749172185106,"1388392_at"
"1383519_at",0.000866318280656046,"1383519_at"
"1388673_at",0.000873478418945498,"1388673_at"
"1370928_at",0.000877069448022731,"1370928_at"
"1374565_at",0.000880667783227461,"1374565_at"
"1370186_at",0.000898769038192026,"1370186_at"
"1367614_at",0.000906060670099083,"1367614_at"
"1368679_a_at",0.000909717440981968,"1368679_a_at"
"1367846_at",0.000917052890753621,"1367846_at"
"1368332_at",0.000924417548729423,"1368332_at"
"1367639_a_at",0.000942956960108906,"1367639_a_at"
"1375219_a_at",0.000950423823455827,"1375219_a_at"
"1370516_at",0.000969218702876451,"1370516_at"
"1375268_at",0.000976787735286198,"1375268_at"
"1388930_at",0.000980583195861017,"1388930_at"
"1386065_at",0.000995837991983238,"1386065_at"
"ILMN_1666453",0.000999044658671051,"ILMN_1666453"
"ILMN_6020093",0.000999044658671051,"ILMN_6020093"
"1368490_at",0.00100735568021745,"1368490_at"
"1398888_at",0.00101120949644247,"1398888_at"
"1373262_at",0.00103448552940943,"1373262_at"
"1389409_at",0.00104230253555451,"1389409_at"
"1389617_at",0.00105014870100656,"1389617_at"
"1375170_at",0.00105014870100656,"1375170_at"
"1373504_at",0.00105802402280308,"1373504_at"
"1374036_at",0.00105802402280308,"1374036_at"
"1381203_at",0.00106197261640477,"1381203_at"
"1388425_at",0.00107783986686116,"1388425_at"
"1367605_at",0.00110588807093116,"1367605_at"
"1368418_a_at",0.00110992409579883,"1368418_a_at"
"1394819_at",0.00111396740419885,"1394819_at"
"1398324_at",0.00111396740419885,"1398324_at"
"1370243_a_at",0.0011261410268911,"1370243_a_at"
"1368419_at",0.00115480100103895,"1368419_at"
"1371998_at",0.0011589244038635,"1371998_at"
"1387342_at",0.00117965059694128,"1387342_at"
"1382108_at",0.00118799201744294,"1382108_at"
"ILMN_2253732",0.00119883113122472,"ILMN_2253732"
