OriginalID,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,Dataset,Species
1387205_at,RT1-M3-1,0.289133906607194,8.35925856941442,0.0428307453384323,0.0787882023707503,GSE61616,Rat
1388281_at,RT1-M4 /// RT1-M6-1,0.0837334252662099,4.30502656636719,0.332377830666633,0.422092292698829,GSE61616,Rat
1387839_at,RT1-N1 /// RT1-N2,0.511021779498353,5.58756301352048,0.118804260595135,0.182130222825993,GSE61616,Rat
1370400_at,RT1-N3,0.933193553040908,4.9852390149384,4.4545760807434e-06,6.70536599879183e-05,GSE61616,Rat
1388164_at,RT1-S3,1.18977372341514,7.64128349567513,0.0003767676115475,0.0017561594651556,GSE61616,Rat
1389734_x_at,RT1-T24-4,1.45351435772086,9.22514072675519,0.0586532034126742,0.102159393611356,GSE61616,Rat
1368847_at,Rab10,1.01076860537836,8.49424625324323,3.21695197527033e-07,9.4828426046381e-06,GSE61616,Rat
1398814_at,Rab11a,0.825977983228504,10.7639512613173,6.00668336823473e-05,0.0004483961739527,GSE61616,Rat
1398825_at,Rab11b,-0.345792817777216,6.43706904717413,0.0026747200371682,0.0081790676928118,GSE61616,Rat
1392876_at,Rab11fip1,0.386560350652698,3.66264322175801,0.001698947605118,0.0056727046995453,GSE61616,Rat
1394607_at,Rab11fip2,-0.235188049503433,6.25501285269224,0.0224061988675697,0.0460916424937927,GSE61616,Rat
1389129_at,Rab11fip3,-0.663452749103249,8.46317060755251,1.14187689555654e-05,0.0001319139285843,GSE61616,Rat
1376074_at,Rab11fip4,-0.887838529790054,9.27224463215831,0.0033765834828514,0.0098306066382823,GSE61616,Rat
1371468_at,Rab11fip5,-0.234867759232815,9.50170700890552,0.0008893223851356,0.0034212069341086,GSE61616,Rat
1371871_at,Rab12,-0.0910909632716529,11.3470995686428,0.0628771683540359,0.108231419640348,GSE61616,Rat
1388140_at,Rab13,1.5939447258712,8.20418080378345,3.71006055027999e-07,1.05081214073914e-05,GSE61616,Rat
1376796_at,Rab14,0.269310084361023,8.61106932739593,0.0093359220636537,0.0224866940853593,GSE61616,Rat
1373646_at,Rab15,-1.17003417626918,9.75584778000344,8.49322984307733e-09,6.96915448258211e-07,GSE61616,Rat
1383437_at,Rab17,-0.130433454852022,3.86346277794448,0.0226543060944773,0.0465279530598435,GSE61616,Rat
1389292_at,Rab18,-0.0710055187471702,10.5991792541385,0.290260899176359,0.378261134071639,GSE61616,Rat
1391955_at,Rab19,0.0591461727266162,6.08113192553915,0.445515966330969,0.534182867599445,GSE61616,Rat
1398841_at,Rab1a,0.157081770428402,12.362586225056,0.0120759499789161,0.0277753101393618,GSE61616,Rat
1398982_at,Rab1b,-0.178592461735048,7.39785530949317,0.0212642408404227,0.0441718406182824,GSE61616,Rat
1384148_at,Rab20,1.99865654707355,6.32837895659316,1.17458426893213e-07,4.49857095806901e-06,GSE61616,Rat
1383089_at,Rab21,0.109312563369972,10.1121206741173,0.160568470394411,0.233233015450528,GSE61616,Rat
1389692_at,Rab22a,-0.419758043844948,8.21588579442845,2.85478709989328e-05,0.0002599737160163,GSE61616,Rat
