OriginalID,GeneSymbol,logFC,logCPM,PValue,FDR,Dataset,Species
Lgals3,LGALS3,5.89454991536804,2.01372593488642,2.8310162691659e-17,1.51592074287993e-14,GSE104036,Mouse
Cxcl1,CXCL1,5.36283129568855,1.16171484275706,3.40509915727989e-17,1.76807194121184e-14,GSE104036,Mouse
Fam19a1,FAM19A1,-1.15368403901649,4.99714533555879,3.95198178727821e-17,1.99168258602977e-14,GSE104036,Mouse
Rest,REST,1.43557912016786,3.25617885149691,5.1673350350207204e-17,2.5297795950022802e-14,GSE104036,Mouse
Ccl12,CCL12,4.69232768064,2.38087152102184,5.4676037917466e-17,2.60242752698828e-14,GSE104036,Mouse
Eda2r,EDA2R,4.00630198075205,0.956040907056753,6.25651374937065e-17,2.8974422458234104e-14,GSE104036,Mouse
Slc15a3,SLC15A3,3.11091000486546,2.03749675951865,6.63892281459393e-17,2.9936300638965e-14,GSE104036,Mouse
Ccl2,CCL2,6.79494402318079,2.73352567195451,9.15861619557047e-17,4.02392021823333e-14,GSE104036,Mouse
Mvp,MVP,1.97972427598577,3.73619478661194,9.7055087830815e-17,4.1575973249525404e-14,GSE104036,Mouse
Muc2,MUC2,3.25124099500681,0.246590139620208,1.3327433072138002e-16,5.5698918461240305e-14,GSE104036,Mouse
Rasl10a,RASL10A,-1.29549962297378,3.6004888128811,2.61248389621252e-16,1.06583122765718e-13,GSE104036,Mouse
Abca9,ABCA9,-1.3847492405516,3.59024798676233,2.72234434592566e-16,1.08482256668456e-13,GSE104036,Mouse
Cxcl10,CXCL10,6.15131343363414,0.479372343920512,4.94893773803336e-16,1.88121921395211e-13,GSE104036,Mouse
Bag3,BAG3,1.86733412675161,2.5587957541676,4.98141603477048e-16,1.88121921395211e-13,GSE104036,Mouse
Tubb3,TUBB3,-0.954450042027092,7.30431483579566,5.05025292336138e-16,1.88121921395211e-13,GSE104036,Mouse
C3ar1,C3AR1,3.3364462061492,3.50027404982481,6.8828330322146e-16,2.50930519163824e-13,GSE104036,Mouse
Duox2,DUOX2,5.95913252328923,-0.536361485874627,1.0473111818621701e-15,3.73868272941841e-13,GSE104036,Mouse
Slc8a2,SLC8A2,-0.920339750688556,8.09648543190123,1.0770861377503502e-15,3.76650427966373e-13,GSE104036,Mouse
P2ry12,P2RY12,-1.93705787395411,3.25725803081471,1.15190622079421e-15,3.94758261866176e-13,GSE104036,Mouse
Socs3,SOCS3,3.04197733973919,3.59105143734376,1.7647397850144902e-15,5.92917965023985e-13,GSE104036,Mouse
Gfap,GFAP,2.43117236211247,7.95973524538727,1.9152846131068602e-15,6.31123112415115e-13,GSE104036,Mouse
Neat1,NEAT1,2.5580001226919,7.22323302683787,2.0069948022368e-15,6.48865206345804e-13,GSE104036,Mouse
Baz1a,BAZ1A,1.93712266701136,2.27286579516105,2.46089902496812e-15,7.80879718385718e-13,GSE104036,Mouse
Itm2a,ITM2A,-1.6157644490114,4.03287141636354,3.2113456929838904e-15,1.00048015362326e-12,GSE104036,Mouse
Stmn3,STMN3,-0.985219721935485,7.97944661208389,4.13461771499692e-15,1.26511918832986e-12,GSE104036,Mouse
Vmn1r56,VMN1R56,7.90437745091509,-1.20154443921076,4.55148628203498e-15,1.3682406568889399e-12,GSE104036,Mouse
Unc13a,UNC13A,-0.955785598660462,8.35448336641053,6.34116247377244e-15,1.87337618944984e-12,GSE104036,Mouse
Map3k14,MAP3K14,1.52183926654289,2.9538375861786,8.658340369061571e-15,2.5145874953198297e-12,GSE104036,Mouse
Cxcl16,CXCL16,2.4069300551478,1.51690885416411,9.971634266716661e-15,2.8266884853051597e-12,GSE104036,Mouse
Sele,SELE,5.5882687165326,0.79307788260249,1.00629120282238e-14,2.8266884853051597e-12,GSE104036,Mouse
A3galt2,A3GALT2,2.81092508019197,0.351385807481162,1.0258602843655e-14,2.83517999558111e-12,GSE104036,Mouse
Icam1,ICAM1,2.78775484963583,2.82435592726811,1.06958407891768e-14,2.9090989194054697e-12,GSE104036,Mouse
Col5a3,COL5A3,2.26173173577563,2.22107802427162,1.1324063176890501e-14,3.0318409771252797e-12,GSE104036,Mouse
Gadd45b,GADD45B,1.84162651517578,3.93878400331582,1.35665695250098e-14,3.57635644324683e-12,GSE104036,Mouse
Stat3,STAT3,1.26755492795557,6.38616457656744,1.47592302722767e-14,3.82902794897565e-12,GSE104036,Mouse
Lzts3,LZTS3,-0.880169457412687,6.96922708072626,1.49719797246203e-14,3.82902794897565e-12,GSE104036,Mouse
Dnajb1,DNAJB1,1.90617916375149,6.38724532907048,1.6188022941364402e-14,4.07914372206293e-12,GSE104036,Mouse
Vim,VIM,2.25065804388969,5.79613270859902,2.04196074819635e-14,5.07086919135426e-12,GSE104036,Mouse
Slc5a3,SLC5A3,1.14223522147321,6.69310350459847,2.2408302672882602e-14,5.4852323757120395e-12,GSE104036,Mouse
Mt2,MT2,1.4722304266462,5.57807515072729,2.42734360465225e-14,5.85810319235442e-12,GSE104036,Mouse
Ifi204,IFI204,4.10571060898268,0.171672477693045,3.2114081533198203e-14,7.642705375991e-12,GSE104036,Mouse
Chac1,CHAC1,2.28156784756754,3.46180375496162,3.5634434000767e-14,8.36432913154989e-12,GSE104036,Mouse
Cd44,CD44,3.11120581342757,4.20904854346566,3.92764429009184e-14,9.09461958253023e-12,GSE104036,Mouse
Tmem119,TMEM119,-1.41265859176274,3.3453768041038,4.13642683720381e-14,9.45035651406497e-12,GSE104036,Mouse
Slc16a1,SLC16A1,0.992174873751967,5.6109290351765,4.96165432737042e-14,1.11865719604595e-11,GSE104036,Mouse
Ssfa2,SSFA2,0.993297299513652,5.53798970536158,6.99797593364341e-14,1.5572768522464897e-11,GSE104036,Mouse
Slamf8,SLAMF8,5.46828664662728,-1.02173018089042,7.25976162335812e-14,1.59389401888903e-11,GSE104036,Mouse
Adcy7,ADCY7,1.24229413718958,4.16226440736318,7.348563028435e-14,1.59389401888903e-11,GSE104036,Mouse
1810032O08Rik,1810032O08RIK,2.17339908421327,1.84455989958134,1.31068619026132e-13,2.80732598376597e-11,GSE104036,Mouse
Plek,PLEK,2.31956271069485,4.70314995732183,1.34977155258995e-13,2.8553500683492398e-11,GSE104036,Mouse
Jph4,JPH4,-0.823302785240363,6.7609567434073,1.5611678725316e-13,3.2622696946132796e-11,GSE104036,Mouse
Cd72,CD72,3.86927403788282,1.73052077434605,1.8234542293788199e-13,3.76444436390435e-11,GSE104036,Mouse
Tnpo1,TNPO1,0.994268372964221,7.18477078133132,1.94267213779024e-13,3.9628198905994895e-11,GSE104036,Mouse
Ifi30,IFI30,2.17966629478731,1.67673025272961,2.1883108255482699e-13,4.4113771759729e-11,GSE104036,Mouse
Olfm2,OLFM2,-0.89368485591028,6.0754849132858,2.22223072445589e-13,4.4276655190176296e-11,GSE104036,Mouse
Sphk1,SPHK1,1.90545682375106,2.90120768502233,2.37593315320127e-13,4.6794959287475494e-11,GSE104036,Mouse
Gp49a,GP49A,4.9663629203025,1.9466351158216,2.61911993188644e-13,5.09984318555388e-11,GSE104036,Mouse
Ppp1r15a,PPP1R15A,1.32237605979712,3.91220064829063,2.83429309737871e-13,5.45681036220048e-11,GSE104036,Mouse
Sesn2,SESN2,1.98924968815923,4.65016218059509,3.29347718490252e-13,6.224931324774619e-11,GSE104036,Mouse
Serpina3m,SERPINA3M,8.0398973941064,-1.14805107640323,3.30591625651877e-13,6.224931324774619e-11,GSE104036,Mouse
Rgs14,RGS14,-1.04163600231374,4.60894543519994,3.45743797532005e-13,6.4394782290336e-11,GSE104036,Mouse
Adamts1,ADAMTS1,2.65905401401029,5.49152636794049,3.84736342964353e-13,7.08866369537009e-11,GSE104036,Mouse
Eif4ebp1,EIF4EBP1,2.00377185794386,1.69266038084122,4.84048253906658e-13,8.82358173477721e-11,GSE104036,Mouse
Cecr2,CECR2,1.41569627606393,2.66947853516389,5.3264025783176e-13,9.607148229418119e-11,GSE104036,Mouse
C1qtnf4,C1QTNF4,-0.864454860727009,6.38780673957913,6.31105566930894e-13,1.12645769680842e-10,GSE104036,Mouse
Parp14,PARP14,1.70533405865056,2.5825995134608,7.13210521653515e-13,1.25241833501211e-10,GSE104036,Mouse
Ppp1r3g,PPP1R3G,-1.57807125840803,2.99259009089529,7.16294116318569e-13,1.25241833501211e-10,GSE104036,Mouse
Plaur,PLAUR,2.98899520189652,2.09340285890321,7.88620484308756e-13,1.36495070693238e-10,GSE104036,Mouse
Tuba4a,TUBA4A,-0.956373096544978,7.50193839622467,8.74041407495224e-13,1.49766995174307e-10,GSE104036,Mouse
Itga5,ITGA5,2.20806157088947,3.37699223181333,1.1835599936124799e-12,2.00795054361879e-10,GSE104036,Mouse
Fcgr4,FCGR4,4.1720290692084,0.230784631987418,1.2311389803386299e-12,2.06819278706887e-10,GSE104036,Mouse
Nlrc5,NLRC5,2.41697312319394,1.57338200187191,1.2526010365657998e-12,2.08381735549077e-10,GSE104036,Mouse
Tagln3,TAGLN3,-0.956654697566572,6.67495155324704,1.44181145353401e-12,2.37552300541397e-10,GSE104036,Mouse
Trib3,TRIB3,3.44294751505424,0.679010236344844,1.5403834911406999e-12,2.51375915435199e-10,GSE104036,Mouse
Rdh10,RDH10,1.56673474335761,3.940861041029,1.8641449210705098e-12,3.01340785118333e-10,GSE104036,Mouse
Cadps2,CADPS2,-0.986557861380254,6.95040017841255,1.9853317755545198e-12,3.17931401627352e-10,GSE104036,Mouse
Stx1a,STX1A,-1.04728350504072,6.76854753825863,2.02539756573457e-12,3.2134432674872e-10,GSE104036,Mouse
Mtch1,MTCH1,-0.801845838613254,7.25257846654595,2.24353683930887e-12,3.5268810772071003e-10,GSE104036,Mouse
Adamts9,ADAMTS9,3.02838306425048,4.57221096896342,2.44137734378706e-12,3.80300007143557e-10,GSE104036,Mouse
Jun,JUN,1.0387380087707,5.0767735094753,2.6298001773519597e-12,4.05960594945278e-10,GSE104036,Mouse
Tnfrsf12a,TNFRSF12A,2.61925730836058,3.1594319065916,2.72798401101822e-12,4.1735719668569003e-10,GSE104036,Mouse
Serpina3n,SERPINA3N,3.64877162122438,6.26344712263119,2.8901279192570897e-12,4.38250813243099e-10,GSE104036,Mouse
Csf2rb,CSF2RB,2.76681379907905,1.97375318369432,3.39894621806021e-12,5.10885468828611e-10,GSE104036,Mouse
Steap4,STEAP4,3.17333880899327,1.02357101658805,3.69541359866585e-12,5.50616626201212e-10,GSE104036,Mouse
Slc14a1,SLC14A1,1.94436876833089,3.45850304011332,4.24009577534158e-12,6.26327940607569e-10,GSE104036,Mouse
Hspd1,HSPD1,1.38612197258708,6.86368916108106,4.5235655233655195e-12,6.62489702930498e-10,GSE104036,Mouse
Cxcl2,CXCL2,8.83524007203151,-0.429102068783388,4.76803200016733e-12,6.92374816295485e-10,GSE104036,Mouse
Selplg,SELPLG,-1.75120192474706,3.22366670713484,4.84003892845364e-12,6.96924933101287e-10,GSE104036,Mouse
Entpd8,ENTPD8,7.50323073792485,-1.57362545078904,5.0557401764633695e-12,7.21518690531288e-10,GSE104036,Mouse
Cx3cl1,CX3CL1,-0.830668239017166,8.58085039417018,5.09505465738464e-12,7.21518690531288e-10,GSE104036,Mouse
Pycard,PYCARD,1.67907615300536,2.13191192481932,5.33595226104157e-12,7.494388687946501e-10,GSE104036,Mouse
Morc4,MORC4,1.54735356920146,2.5690126043261,5.54068888116264e-12,7.71867512022129e-10,GSE104036,Mouse
Slc2a5,SLC2A5,-2.3159274212948,0.879208269383155,5.66396699245569e-12,7.8267801948168e-10,GSE104036,Mouse
Fcgr1,FCGR1,2.13636224543849,2.14785080869892,6.46641145824073e-12,8.86415682695639e-10,GSE104036,Mouse
Cyp1b1,CYP1B1,2.09280738305094,3.15783033473054,6.537480689743039e-12,8.89045489037674e-10,GSE104036,Mouse
Pfkl,PFKL,-0.854807511068426,6.77756014968021,6.80586033890971e-12,9.18255251237936e-10,GSE104036,Mouse
Gbp2,GBP2,2.31442181414339,2.29797604787299,7.39821251009199e-12,9.90377901253329e-10,GSE104036,Mouse
Mmp19,MMP19,2.19809639164537,0.784156396753037,7.642821527708e-12,1.01519183625796e-09,GSE104036,Mouse
Lrrc32,LRRC32,2.16664120773381,2.90096029989305,8.01837818829324e-12,1.0568839250492702e-09,GSE104036,Mouse
Gem,GEM,2.08338699531822,1.47353781424056,8.484348198850659e-12,1.10976569761302e-09,GSE104036,Mouse
Mx1,MX1,3.1107907996971,-0.419395368371666,8.726058595318639e-12,1.1327349547786702e-09,GSE104036,Mouse
H19,H19,7.54570477405607,-1.57017391074902,8.795208863201229e-12,1.13312709677408e-09,GSE104036,Mouse
Stmn2,STMN2,-0.824086986499285,6.74726056547887,9.497752087967659e-12,1.21450732856213e-09,GSE104036,Mouse
Tubb2a,TUBB2A,-0.821472842600331,7.82747027925608,1.07706169338338e-11,1.3670705271203202e-09,GSE104036,Mouse
Esr1,ESR1,2.07677470613769,3.07950709811682,1.1619102008975198e-11,1.4639214185572702e-09,GSE104036,Mouse
Ccnl1,CCNL1,0.995073919810395,4.93204609621733,1.17410152278483e-11,1.4684839118918302e-09,GSE104036,Mouse
L1cam,L1CAM,-0.912612641201319,6.93260007021268,1.2119714649805298e-11,1.5048645690175e-09,GSE104036,Mouse
Plin2,PLIN2,2.74320877286236,3.80169675813764,1.2727008015281699e-11,1.5689013118118902e-09,GSE104036,Mouse
Rfpl4,RFPL4,8.1087987952843,-0.984796014314668,1.3654415847811299e-11,1.6712029682303401e-09,GSE104036,Mouse
Csf2rb2,CSF2RB2,3.34005748911477,0.767703969537981,1.5335211573298e-11,1.8636088674359e-09,GSE104036,Mouse
Ptbp1,PTBP1,1.2083915791359,4.11329084949418,1.73607601888219e-11,2.0949058157427e-09,GSE104036,Mouse
Rph3a,RPH3A,-0.75301808087433,7.62823215374041,1.7758014718823897e-11,2.1278572182311e-09,GSE104036,Mouse
Pcsk1,PCSK1,-0.832154144380679,5.61646332393173,1.81068289330075e-11,2.1545869011603e-09,GSE104036,Mouse
Plk5,PLK5,-1.33736169132912,2.98075474167338,1.8513564069930998e-11,2.18779255405702e-09,GSE104036,Mouse
Mtfp1,MTFP1,-0.942583558985407,4.90755534445349,1.8955107913979002e-11,2.2246285897673304e-09,GSE104036,Mouse
Ptn,PTN,-0.802255742065979,6.43388733620392,2.04129486856381e-11,2.3794277260436e-09,GSE104036,Mouse
Parp3,PARP3,2.32549251128926,2.32189679060087,2.14164187475791e-11,2.4795292921605903e-09,GSE104036,Mouse
Fgr,FGR,4.45959208016536,-0.256258195285317,2.2009464235959597e-11,2.53108838713536e-09,GSE104036,Mouse
Gm15737,GM15737,2.8567940629089,0.367640820309158,2.2824615616668297e-11,2.60733192394407e-09,GSE104036,Mouse
Timp1,TIMP1,3.90577474350432,2.12296886007122,2.3855063081128797e-11,2.7069967277824e-09,GSE104036,Mouse
Sat1,SAT1,0.989352300014472,5.16256989015266,2.76314562282659e-11,3.11490133204826e-09,GSE104036,Mouse
Rsad2,RSAD2,2.05256023485247,1.13954506775651,3.0644391968243896e-11,3.43197161029973e-09,GSE104036,Mouse
Bcl2a1b,BCL2A1B,4.90993238167634,-1.04808331313219,3.13687870339834e-11,3.4902867910864e-09,GSE104036,Mouse
Shisa4,SHISA4,-0.860624231239382,5.94335565948558,3.25043407024329e-11,3.5933024382979904e-09,GSE104036,Mouse
Gldn,GLDN,1.68383652892819,1.52123632504736,3.34953648793316e-11,3.6791222897906903e-09,GSE104036,Mouse
Cspg5,CSPG5,-0.802958900562139,7.41897095985224,3.4295910976574095e-11,3.74306009288916e-09,GSE104036,Mouse
Gbp3,GBP3,2.00159165939164,1.65488603732416,3.52605831642924e-11,3.82398792734272e-09,GSE104036,Mouse
Icam5,ICAM5,-0.858842009001577,6.37189314004623,3.55746015884471e-11,3.833778605144921e-09,GSE104036,Mouse
9430008C03Rik,9430008C03RIK,1.45208382188515,3.65668673514916,3.7099131157291795e-11,3.95516486846207e-09,GSE104036,Mouse
Cebpb,CEBPB,1.33350602394987,2.79908249661083,3.7185367683313196e-11,3.95516486846207e-09,GSE104036,Mouse
Il1b,IL1B,3.53166252513434,0.293193892909418,3.7393446670023694e-11,3.95516486846207e-09,GSE104036,Mouse
Mt1,MT1,1.00971153462841,6.44793962663921,4.05214677563421e-11,4.24064584569024e-09,GSE104036,Mouse
Serpinh1,SERPINH1,1.90189524441044,4.667955681641,4.05874478373621e-11,4.24064584569024e-09,GSE104036,Mouse
Cd109,CD109,2.18493401838989,2.11715101514753,5.3261958724962994e-11,5.531173713649951e-09,GSE104036,Mouse
Tyro3,TYRO3,-0.786090952256774,7.63490778772359,5.60794552917977e-11,5.788683532680441e-09,GSE104036,Mouse
1110008P14Rik,1110008P14RIK,-1.04244060944163,5.33689956228535,6.48688894444243e-11,6.655858806168921e-09,GSE104036,Mouse
Sez6,SEZ6,-0.890798427669159,6.94376337859759,6.775536463687509e-11,6.910643887219371e-09,GSE104036,Mouse
Igf2bp2,IGF2BP2,2.8380371887936,0.997651463418945,7.0933246853305e-11,7.191959673558471e-09,GSE104036,Mouse
Insm2,INSM2,2.26059277194498,0.347463804500144,8.189756513036579e-11,8.254792814757751e-09,GSE104036,Mouse
Wwtr1,WWTR1,1.18455859845657,4.29374765248024,9.6797039222627e-11,9.69951618175272e-09,GSE104036,Mouse
Pld3,PLD3,-0.800839689547394,8.54927165313628,1.22104159593985e-10,1.21642719455985e-08,GSE104036,Mouse
Csf1,CSF1,1.33585597938078,4.55307766158826,1.23142007114373e-10,1.21967531323975e-08,GSE104036,Mouse
Cd68,CD68,1.73501005617786,3.23425500082258,1.26683044426836e-10,1.24753676221485e-08,GSE104036,Mouse
Gm22442,GM22442,-0.792602209634472,5.94787654606471,1.60017836690831e-10,1.56048829283496e-08,GSE104036,Mouse
Cd14,CD14,4.10602729385711,4.17717124133485,1.60283594711966e-10,1.56048829283496e-08,GSE104036,Mouse
Rhoj,RHOJ,2.17089360991044,3.06450298910764,1.62207079358252e-10,1.57029282757268e-08,GSE104036,Mouse
Tmem106a,TMEM106A,2.18487477214207,0.366769447388901,1.75724733453507e-10,1.69159736389093e-08,GSE104036,Mouse
Ifrd1,IFRD1,0.89301471878236,5.5177217120482,1.8294515969102601e-10,1.75126553704231e-08,GSE104036,Mouse
Thrsp,THRSP,-1.02642577191645,3.81471807195017,1.84671979797623e-10,1.75797465212904e-08,GSE104036,Mouse
Tuba1a,TUBA1A,-0.792903777017154,8.32732444622544,1.89475957580343e-10,1.79374062604375e-08,GSE104036,Mouse
4930562C15Rik,4930562C15RIK,4.82188910626314,0.139104663120458,2.03211862375423e-10,1.91155450069582e-08,GSE104036,Mouse
Hcar2,HCAR2,5.30922143016477,-0.39992877432241,2.0415201262173003e-10,1.91155450069582e-08,GSE104036,Mouse
Dmbx1,DMBX1,3.14493619010492,0.39769392068831,2.0788570191383002e-10,1.93593559907255e-08,GSE104036,Mouse
Camkv,CAMKV,-0.839221559038882,8.15213238818293,2.15129393087942e-10,1.99256332462805e-08,GSE104036,Mouse
Ctsc,CTSC,2.01434372925653,3.65725327721993,2.2132806074129002e-10,2.03895501118388e-08,GSE104036,Mouse
Pkp3,PKP3,4.37460123855674,-1.50464526198734,2.52804424862633e-10,2.31647263102738e-08,GSE104036,Mouse
Rnf112,RNF112,-0.722009014432777,7.44379027128079,2.77989242711785e-10,2.53369450737576e-08,GSE104036,Mouse
Pde6b,PDE6B,2.70883615663404,1.85736543100964,2.83840930669938e-10,2.57334092435417e-08,GSE104036,Mouse
Clec7a,CLEC7A,5.82976892140723,-0.266062533384324,2.95958456327854e-10,2.66907797325146e-08,GSE104036,Mouse
Nell2,NELL2,-0.76903016238115,8.70684715064873,3.02222860833698e-10,2.71130299496618e-08,GSE104036,Mouse
Zfp516,ZFP516,0.829911599795363,4.58292337629389,3.17515678692525e-10,2.83366205958147e-08,GSE104036,Mouse
Mmp3,MMP3,12.3584803246001,3.0466624021292,3.20436229558267e-10,2.84490921942016e-08,GSE104036,Mouse
Plcxd2,PLCXD2,-0.776824199679952,7.15180325350855,3.34944338065446e-10,2.95838723337702e-08,GSE104036,Mouse
Il1rn,IL1RN,11.5053086177623,2.190440857703,3.3778558388382803e-10,2.96818255376892e-08,GSE104036,Mouse
Ptrf,PTRF,0.994887543514037,3.50359525937709,3.63147445328644e-10,3.17476095699302e-08,GSE104036,Mouse
Sec61a1,SEC61A1,0.745783293972372,6.45751451931965,3.67401609632892e-10,3.19564801069016e-08,GSE104036,Mouse
Slco2a1,SLCO2A1,1.75919989550449,1.48421973707676,3.91943004893618e-10,3.39189060043037e-08,GSE104036,Mouse
Pyhin1,PYHIN1,6.92326902435696,-2.07388916689595,4.09030711416422e-10,3.52198052267356e-08,GSE104036,Mouse
Dusp16,DUSP16,1.00343292870171,4.17358870224234,4.2392293049044903e-10,3.63195970697692e-08,GSE104036,Mouse
Tlr1,TLR1,3.65126504832793,0.667280339255452,4.54946676794498e-10,3.87836383426553e-08,GSE104036,Mouse
Myl9,MYL9,-1.41282363238652,2.4374676443015,5.03464922220495e-10,4.27072843675653e-08,GSE104036,Mouse
Fsd1,FSD1,-0.873129611424197,4.39984525719825,5.415997688638e-10,4.57158228545873e-08,GSE104036,Mouse
Zbtb42,ZBTB42,1.96213594666223,0.573222288765742,5.62715305432319e-10,4.72653272479548e-08,GSE104036,Mouse
Igsf6,IGSF6,1.73007108539862,1.70733593102103,6.58220648330312e-10,5.50176137031215e-08,GSE104036,Mouse
Fzd2,FZD2,-1.18096445482809,3.15875293833757,6.74320268442235e-10,5.60896980570762e-08,GSE104036,Mouse
Plcb1,PLCB1,-0.760278661207631,7.85085885730195,6.87279344294748e-10,5.68914568332875e-08,GSE104036,Mouse
Maff,MAFF,1.5865002347365,2.84291206422104,7.00670316582768e-10,5.77210859357968e-08,GSE104036,Mouse
Clstn3,CLSTN3,-0.792610576750902,8.70298108427501,7.27046423332146e-10,5.96073706401738e-08,GSE104036,Mouse
Tnc,TNC,3.64835521126741,4.87773670287856,7.50714048960779e-10,6.10586093325737e-08,GSE104036,Mouse
Mmp12,MMP12,7.79455147890249,1.99818807259973,7.51874325600995e-10,6.10586093325737e-08,GSE104036,Mouse
Plxnd1,PLXND1,-0.839899071619226,6.71008340410163,7.61156527549747e-10,6.15208353753062e-08,GSE104036,Mouse
Irg1,IRG1,7.88631920452201,-1.29249391871315,8.187784329078391e-10,6.58674575017644e-08,GSE104036,Mouse
Bcl11b,BCL11B,-0.86689375958559,5.68150731847404,8.42470985555479e-10,6.74567305490334e-08,GSE104036,Mouse
Plch2,PLCH2,-0.776551465338374,5.69307510769521,8.97592131791004e-10,7.15360054801807e-08,GSE104036,Mouse
Cck,CCK,-0.812279697279256,7.06727426380677,9.86760738025885e-10,7.82784502133034e-08,GSE104036,Mouse
Cpne4,CPNE4,-0.875334181664273,5.42748703553195,1.00063727654015e-09,7.90134549931586e-08,GSE104036,Mouse
Atp2b4,ATP2B4,-0.774615202770013,8.75524041528114,1.00644854520224e-09,7.91077790001855e-08,GSE104036,Mouse
Ptx3,PTX3,6.24006382396934,1.99955169380811,1.02121630247408e-09,7.99020152643533e-08,GSE104036,Mouse
Hipk4,HIPK4,-0.795234608192342,5.74626584466509,1.05238759019996e-09,8.19666425367104e-08,GSE104036,Mouse
Fxyd6,FXYD6,-0.746204649786917,5.62653556522263,1.07092160174664e-09,8.30327676286365e-08,GSE104036,Mouse
Syngr3,SYNGR3,-0.78827785176056,6.19931469977125,1.0849888794802501e-09,8.37445245490725e-08,GSE104036,Mouse
Usp36,USP36,1.0823953020604,5.72815232104752,1.1089558287885602e-09,8.52105745573633e-08,GSE104036,Mouse
Myo15,MYO15,2.12619767759781,0.156752108974468,1.1140535558143201e-09,8.52201235664217e-08,GSE104036,Mouse
Arid5a,ARID5A,1.17169609253207,3.91828959542372,1.1211615603771201e-09,8.52872749621057e-08,GSE104036,Mouse
