"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe","Dataset","Species"
-0.00563486355495665,7.64180496443108,-0.191615153224709,0.848619154682937,0.934783710818451,-6.50117429827482,"ILMN_1778352","GSE16561","Human"
0.0547586639489066,7.86831417601349,1.57762079176442,0.119330085777167,0.307229883942032,-5.30615197991189,"ILMN_1725414","GSE16561","Human"
0.0535304211627376,7.5158953574688,1.46738828726665,0.146916571078114,0.353505151376291,-5.46717822946021,"ILMN_2293902","GSE16561","Human"
0.0272380393913082,7.5368691863291,1.02007548298738,0.311336398430461,0.562027609823949,-6.00669415078468,"ILMN_1801521","GSE16561","Human"
-0.045063631950683,7.9559752804489,-0.849332993469284,0.398699576080996,0.64940508403039,-6.1631156752232,"ILMN_2406654","GSE16561","Human"
0.0448481025333053,7.49869553701788,2.04922156450248,0.0443315842157251,0.154474160851698,-4.49768484979482,"ILMN_1767129","GSE16561","Human"
0.000388072809938025,7.6199657008701,0.0134242460881893,0.989328938519539,0.995946659176904,-6.51931299455632,"ILMN_1751453","GSE16561","Human"
-0.00407441191047823,7.8137633679869,-0.121068853582932,0.903996329024288,0.959527902318153,-6.51212433406462,"ILMN_2366473","GSE16561","Human"
0.151573720742886,8.09911214846279,2.33372967413898,0.0225970013578155,0.0935573063811936,-3.92060986900436,"ILMN_1772189","GSE16561","Human"
-0.0343073079984713,7.59841283501827,-0.908735326710759,0.366724437440076,0.618842758123581,-6.11185471555496,"ILMN_2198897","GSE16561","Human"
-0.00870504910854072,7.64177518237833,-0.297941442631652,0.766663384043223,0.894252269219928,-6.47534956931959,"ILMN_2343917","GSE16561","Human"
-0.0325946195687596,7.87530210113169,-0.915659933210323,0.363106340262463,0.61541702982396,-6.105659148328,"ILMN_1651501","GSE16561","Human"
-0.198546244815715,9.42436070255063,-2.7761206380239,0.0071130706343566,0.0384594965244438,-2.89976637335191,"ILMN_2330267","GSE16561","Human"
-0.168922076088033,9.43694644205705,-2.54120126521252,0.0133517741100927,0.0622448442977355,-3.45992019140631,"ILMN_1676846","GSE16561","Human"
-0.163140587535389,9.34695079171454,-2.39339517645933,0.0194811472703231,0.0834600111226503,-3.79148567339508,"ILMN_2392635","GSE16561","Human"
-0.140937208357574,10.2753985904587,-1.46879012415363,0.146536814180848,0.35313983847413,-5.46519883222313,"ILMN_1763875","GSE16561","Human"
-0.233135274916961,7.9545586116406,-5.86485853814286,1.49307722616948e-07,8.04981921651943e-06,7.21489980590305,"ILMN_2284941","GSE16561","Human"
-0.201127674822925,8.75070177585113,-3.06151706991905,0.00316050594354865,0.0201977868994544,-2.16731244385569,"ILMN_1781999","GSE16561","Human"
-0.116277849339384,7.94339995452592,-3.60695997887203,0.000589033849761023,0.00526791119381744,-0.623204892714598,"ILMN_1669201","GSE16561","Human"
-0.0800273452411051,8.11823738199102,-1.78918526867523,0.0780731679062959,0.230249204365153,-4.96704083731707,"ILMN_1810085","GSE16561","Human"
0.177135054055338,8.66011227161516,1.3592817678513,0.17858327535291,0.399856364337553,-5.61446675429074,"ILMN_1658176","GSE16561","Human"
-0.0271337962697829,7.79529425018658,-0.814887905271383,0.418003557207998,0.666323039955124,-6.19128729237535,"ILMN_2262362","GSE16561","Human"
0.0171330977612624,7.74113414428704,0.562395087911563,0.575710661985146,0.783118456757104,-6.36270938253605,"ILMN_1743638","GSE16561","Human"
0.27486046410269,8.7629170585968,2.64206543379564,0.0102328844254007,0.0509070954856022,-3.22430796315194,"ILMN_2329927","GSE16561","Human"
0.374863397145323,8.43737837492169,5.01139574513626,4.14531332072837e-06,0.00010559572281494,4.04327527391454,"ILMN_1794782","GSE16561","Human"
-0.0299975740423169,7.87120228025596,-1.00280938135778,0.319535760013618,0.570157966896571,-6.02377438230703,"ILMN_1695968","GSE16561","Human"
-0.0301563971975209,7.45476675243703,-1.30385572237436,0.196713782910445,0.425761938289759,-5.6858504018357,"ILMN_1789641","GSE16561","Human"
0.0180420726001042,7.68716779256257,0.747187298237981,0.457546543850084,0.699319268983577,-6.24332271272298,"ILMN_1779470","GSE16561","Human"
-0.00322424145096425,7.83223591600539,-0.112871914765448,0.910467258702266,0.963225607111456,-6.51307641094372,"ILMN_1716592","GSE16561","Human"
-0.0109362804984602,7.52094857933922,-0.487744304213751,0.627312127652834,0.813530045018244,-6.40147689462032,"ILMN_1680309","GSE16561","Human"
-0.0813833374584768,7.66830321054524,-2.86384085551195,0.00557263638679721,0.0317674300838878,-2.68053966657668,"ILMN_1743371","GSE16561","Human"
-0.146582936090776,9.11083790999487,-2.22036679768291,0.0297563615153113,0.11513459058866,-4.15829147102728,"ILMN_1770031","GSE16561","Human"
-0.148963747069091,7.90692421515829,-3.79977422667909,0.000313394508471719,0.00317287688292189,-0.036403510596152,"ILMN_2338268","GSE16561","Human"
-0.00456371800310605,7.51767169414307,-0.166853305402532,0.867984515294545,0.943012463551163,-6.50558011386937,"ILMN_1753912","GSE16561","Human"
-0.149304287536514,7.93021429115868,-3.0710069466165,0.00307382201734052,0.0197599391790829,-2.14202174973858,"ILMN_1737475","GSE16561","Human"
-0.0319364689738515,8.08340214037599,-0.678148804349074,0.499996528447289,0.729997312185481,-6.2918156824723,"ILMN_2318685","GSE16561","Human"
-0.150781927924657,8.53279474800845,-2.90060163445122,0.00502377199632213,0.029250743559619,-2.58708943996808,"ILMN_2245305","GSE16561","Human"
0.118288499356427,7.95828301753439,1.07965033885308,0.284142253394978,0.532489963180459,-5.94559488041796,"ILMN_2073969","GSE16561","Human"
-0.450283762742775,9.01758976180341,-6.99263246734485,1.5136966286106e-09,3.03002806743778e-07,11.6163363885652,"ILMN_1794213","GSE16561","Human"
-0.309592934574536,8.52042751105246,-4.58729223837281,2.00563278577565e-05,0.000359387712694393,2.54758649762654,"ILMN_2227533","GSE16561","Human"
0.229152227673985,8.54225346183426,2.99304115433217,0.00385678456768073,0.0236822984304821,-2.34805156880052,"ILMN_2403446","GSE16561","Human"
0.00591448222761909,7.5722001421353,0.235664834471318,0.814406617851057,0.917610175569736,-6.49183408801016,"ILMN_1787618","GSE16561","Human"
0.227543253683984,8.22826336102812,3.65119948297123,0.000510463374773321,0.00469694870368977,-0.490343922726889,"ILMN_1723662","GSE16561","Human"
0.165316026233874,10.2833448878374,1.43944921971853,0.154646779072909,0.36547592846219,-5.50625852135202,"ILMN_1801767","GSE16561","Human"
0.17720881813217,8.42119837074616,2.9641564388165,0.00419119490004668,0.0253983858574025,-2.42336052891571,"ILMN_1700633","GSE16561","Human"
0.756364237826941,10.2651159399461,6.44076744394859,1.46045146412824e-08,1.42734401858685e-06,9.44175194899843,"ILMN_1655702","GSE16561","Human"
-0.0692537266649884,8.49087319286359,-1.28306989217128,0.203857410458134,0.435421619154747,-5.7118932325707,"ILMN_1706344","GSE16561","Human"
0.0728254743126974,7.91631607310983,1.90199476108772,0.0614417444222021,0.194581388125618,-4.77041499584326,"ILMN_1719498","GSE16561","Human"
-0.116613253987367,9.73599057556905,-1.79677510110573,0.0768471459620914,0.227921332075452,-4.9541528024899,"ILMN_1712707","GSE16561","Human"
0.0701052481781775,7.80868475525215,2.77656031197754,0.0071044590209554,0.0384383511784422,-2.89868094096518,"ILMN_1699750","GSE16561","Human"
0.0327460478353371,7.66729433093432,1.48091448766566,0.143284289623543,0.348217446874888,-5.44800536625653,"ILMN_1739081","GSE16561","Human"
0.114602376878796,10.0360999258619,1.80904616311968,0.0748989050100992,0.224011831114697,-4.93321114716889,"ILMN_2329958","GSE16561","Human"
0.0259232503563794,7.89792830765226,0.764150441481655,0.447441735024468,0.691508589915033,-6.2307005598977,"ILMN_1775944","GSE16561","Human"
-0.107420330205922,8.25667389110327,-2.63544692165948,0.0104151898661125,0.0516261955873558,-3.23999663430552,"ILMN_1724497","GSE16561","Human"
0.0362672602372219,7.83551946328193,1.10547538622732,0.272879991574445,0.520894799884267,-5.91806901207203,"ILMN_1720988","GSE16561","Human"
0.0612308794612267,9.54051234427165,0.642961862696195,0.522427952014482,0.745574500603133,-6.31474883915539,"ILMN_1755658","GSE16561","Human"
-0.0124187287743029,7.72677930567056,-0.429528774377755,0.668907031010415,0.840192441255325,-6.42791046021541,"ILMN_1673639","GSE16561","Human"
-0.115722824446136,8.76075087359985,-2.01133397890204,0.048287225042106,0.163903959804608,-4.56959108175058,"ILMN_1713732","GSE16561","Human"
-0.00667461253788655,7.74960302695223,-0.227805487598211,0.820486387931284,0.921126896220979,-6.49364151123445,"ILMN_1708922","GSE16561","Human"
-0.0210284207136779,7.72677146818565,-0.816569083683013,0.417048500917339,0.665535829820664,-6.18993882462039,"ILMN_2268241","GSE16561","Human"
0.0045290868459922,7.66594279950236,0.173823331528888,0.8625247756717,0.94067095166321,-6.50440144873969,"ILMN_1741628","GSE16561","Human"
