MOL_ID,molecule_name,SMILES,ALOX15,BCL6,CD74,CTSB,CXCL10,DYRK1A,EPHA4,HIF1A,HMOX1,IL1B,KDM6B,KEAP1,LCN2,LGMN,LPCAT3,MAPK1,NOX4,PDE4B,PTGS2,SAT1,SP1,TFRC,TLR4,avg_score,max_score,n_hits,n_high,consistency,composite_score,n_targets,top_targets,rank,source_herbs,rank_bin
MOL002670,Cavidine,COc1cc2c(cc1OC)[C@H]1[C@@H](C)c3ccc4c(c3CN1CC2)OCO4,0.5279410779476166,0.3228914029314182,0.0947098492724762,0.3784970492124557,0.0174673573555992,0.8749361336231232,0.3694500029087066,0.7889211475849152,0.0127468821592628,0.1086062255781143,0.0854348912835121,0.360911363735795,0.0779533546246966,0.1897008524974808,0.0162505533007788,0.6448234915733337,0.5235578715801239,0.8577918410301208,0.6879188120365143,0.0198615905828773,0.0237915720790624,0.0007776437560096,0.4053204655647278,0.3213157144442922,0.8749361336231232,7,3,0.7094721463195881,0.4226104620952907,23,"DYRK1A(0.875), PDE4B(0.858), HIF1A(0.789), PTGS2(0.688), MAPK1(0.645)",254,半夏,200-299
MOL000239,Jaranol,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,0.7908571660518646,0.2100285012184031,0.0944217664364259,0.3864992335438728,0.0123859622690361,0.5450734496116638,0.2419687956571579,0.8480161428451538,0.0025128825800493,0.1857238803058862,0.0402318388223648,0.5047920048236847,0.1370017342214851,0.2252077114098938,0.0342005284037441,0.3983722329139709,0.6462559551000595,0.5971136093139648,0.8691553473472595,0.032337318174541,0.0387819744646549,0.0005331750289769,0.3853585049510002,0.3142099876302223,0.8691553473472595,7,3,0.7176938276757896,0.4186313083537801,23,"PTGS2(0.869), HIF1A(0.848), ALOX15(0.791), NOX4(0.646), PDE4B(0.597)",266,甘草,200-299
MOL001484,Inermine,COc1cc(O)ccc1-c1oc2cc(O)ccc2c1C=O,0.817215621471405,0.1925376160697851,0.0253407504435472,0.1910465359687805,0.0023305432394522,0.8633908033370972,0.146535437554121,0.7767148613929749,0.006122186932771,0.0421213863883167,0.0595871671102941,0.374706262955442,0.0411343297128041,0.1389641817368101,0.0043487265393196,0.6200633198022842,0.7200659215450287,0.6879006028175354,0.8383031785488129,0.0054970972705632,0.0053276487160474,0.0002527093329263,0.0722790751606226,0.2883385201759453,0.8633908033370972,7,5,0.6735522983621387,0.414465286584299,23,"DYRK1A(0.863), PTGS2(0.838), ALOX15(0.817), HIF1A(0.777), NOX4(0.720)",278,甘草,200-299
MOL004827,Semilicoisoflavone B,CC1(C)C=Cc2cc(-c3coc4cc(O)cc(O)c4c3=O)cc(O)c2O1,0.7945913076400757,0.2310919088777154,0.0384935587644577,0.3323874548077583,0.0049634127062745,0.7622658908367157,0.2048609033226966,0.8521391153335571,0.0102480173227377,0.1266789250075817,0.3776802085340023,0.3906592838466167,0.0511549080838449,0.1490155059145763,0.0078516162466257,0.6446779519319534,0.6803572773933411,0.6261837482452393,0.7837739586830139,0.0099931308068335,0.0066417031921446,0.0006250325677683,0.094978492707014,0.3122310135988063,0.8521391153335571,7,4,0.6953934402225821,0.4130868927545278,23,"HIF1A(0.852), ALOX15(0.795), PTGS2(0.784), DYRK1A(0.762), NOX4(0.680)",282,甘草,200-299
MOL000392,formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,0.7478933930397034,0.1787493378296858,0.0217171635551949,0.1633991748094558,0.0014831001589357,0.8607788980007172,0.1081552449613809,0.8437092900276184,0.0005846403437317,0.0357021416421048,0.0277720061130821,0.3686710130423307,0.0343029409505959,0.1355693833870646,0.0033055135450013,0.5876751989126205,0.5511909872293472,0.822234570980072,0.8076061010360718,0.0021738823561463,0.0030852059426251,2.75319762295112e-05,0.0747448485344648,0.2774144160162687,0.8607788980007172,7,5,0.6733900065551977,0.40437671725575,23,"DYRK1A(0.861), HIF1A(0.844), PDE4B(0.822), PTGS2(0.808), ALOX15(0.748)",298,甘草,200-299
MOL002565,Medicarpin,COc1ccc2c(c1)O[C@H]1c3ccc(O)cc3OC[C@@H]21,0.6733686327934265,0.1895087891025468,0.0205345189760919,0.1179025769233703,0.0012484449532621,0.8761580586433411,0.1314576976001262,0.7457625269889832,0.0022073752188589,0.0322667257860302,0.030907733598724,0.2740277200937271,0.0248390737706358,0.1354981507138291,0.0024698203378648,0.5978131592273712,0.5668885111808777,0.8123028874397278,0.7979499697685242,0.0080442545004189,0.0117614049231633,0.000160061452334,0.4126767236739397,0.2811197746811815,0.8761580586433411,7,4,0.6859111744444584,0.4030290610643633,23,"DYRK1A(0.876), PDE4B(0.812), PTGS2(0.798), HIF1A(0.746), ALOX15(0.673)",299,甘草,200-299
MOL012940,Spiradine A,C=C1C[C@]23C[C@]4(O)[C@@H]5[C@@]6(C)CCC[C@]57C(C2C[C@H]1C(=O)[C@H]37)N4C6,0.4180979803204536,0.2397648617625236,0.0564197497915301,0.1885487735271453,0.0057435449161857,0.8039467334747314,0.3882467299699783,0.80906081199646,0.0012721485109068,0.098382806405425,0.0163709367625415,0.4727766960859298,0.0542448378892004,0.1701871439408933,0.0101459236066148,0.7191724479198456,0.5120966881513596,0.8035922646522522,0.7795956432819366,0.0102085274411365,0.0099694825476035,0.0001430227675882,0.5188618935644627,0.3081238977950741,0.80906081199646,7,5,0.6973338482855972,0.4022612985199905,23,"HIF1A(0.809), DYRK1A(0.804), PDE4B(0.804), PTGS2(0.780), MAPK1(0.719)",304,大枣,300-399
MOL004908,Glabridin,CC1(C)C=Cc2c(ccc3c2OC[C@@H](c2ccc(O)cc2O)C3)O1,0.8642935156822205,0.2232131417752043,0.0600115417514643,0.3473190367221832,0.0079980859263741,0.5009625628590584,0.1689594192430377,0.89681077003479,0.0012409043847583,0.1622891202569008,0.2465224117040634,0.426125006750226,0.087169058560903,0.1847817068046424,0.0166988277487689,0.4156432636082172,0.6052693426609039,0.4591768383979797,0.8241273462772369,0.0181528972461819,0.0145776716526597,0.0002108157932525,0.2232817560434341,0.2936884800819331,0.89681077003479,5,3,0.7193687689885605,0.3961555684911085,23,"HIF1A(0.897), ALOX15(0.864), PTGS2(0.824), NOX4(0.605), DYRK1A(0.501)",318,甘草,300-399
MOL004912,Glabrone,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1,0.7463482022285461,0.2120435537071898,0.0358323872005712,0.344635009765625,0.0035893054555344,0.6618196666240692,0.1925192475318908,0.8665491044521332,0.0034316002129344,0.0938307605683803,0.1980963386595249,0.4576268568634987,0.05213655874104,0.1562903108424507,0.0075668984354706,0.6294065862894058,0.6113993972539902,0.6732351183891296,0.8033467233181,0.0069959100801497,0.0054847333813086,0.0002594513171061,0.1305761784315109,0.2996965173804157,0.8665491044521332,7,3,0.7012623894665686,0.3945711173779707,23,"HIF1A(0.867), PTGS2(0.803), ALOX15(0.746), PDE4B(0.673), DYRK1A(0.662)",325,甘草,300-399
MOL005017,Phaseol,CC(C)=CCc1c(O)ccc2c1oc(=O)c1c3ccc(O)cc3oc21,0.5641479641199112,0.2003211821793229,0.0298153074522815,0.1170888133347034,0.0019004834438582,0.8725917935371399,0.1926265656948089,0.6435198187828064,0.0042021127592306,0.0371038212815619,0.009497710969299,0.3333645593374967,0.0379759369089072,0.1458848745937189,0.0046832345724396,0.7958984375,0.6872539222240448,0.7192866802215576,0.8503325283527374,0.0027513107634149,0.0040374443779001,0.0001727573871903,0.0363046396523714,0.2735113869324653,0.8725917935371399,7,4,0.680492637189894,0.3909038762667064,23,"DYRK1A(0.873), PTGS2(0.850), MAPK1(0.796), PDE4B(0.719), NOX4(0.687)",334,甘草,300-399
MOL002311,Glycyrol,COc1c(CC=C(C)C)c(O)cc2oc(=O)c3c4ccc(O)cc4oc3c12,0.4118613675236702,0.2165637982543558,0.0274946071640442,0.0887914113700389,0.0019677983080157,0.8927916884422302,0.2506887167692184,0.5975165367126465,0.0054869098094059,0.0332641549211985,0.0075719499145634,0.3195366710424423,0.031601647889488,0.1380681718135292,0.0036376819152792,0.8209138214588165,0.6326693594455719,0.7974227368831635,0.8196774423122406,0.0025487977400189,0.0034286158333998,0.0003638759189925,0.0468686074018478,0.2674233203845295,0.8927916884422302,6,4,0.68344363414755,0.389222980308132,23,"DYRK1A(0.893), MAPK1(0.821), PTGS2(0.820), PDE4B(0.797), NOX4(0.633)",338,甘草,300-399
MOL004814,Isotrifoliol,COc1cc(O)cc2oc(=O)c3c4ccc(O)cc4oc3c12,0.4757775962352752,0.2095112740935292,0.0260934075221257,0.1059393361210823,0.0018911961872234,0.9100820422172546,0.2683944553136825,0.5443565249443054,0.0117808439827058,0.032205920702836,0.0151538429781794,0.3201057771220803,0.031142317765898,0.1337815405054243,0.0034011540628853,0.7912012934684753,0.6063430905342102,0.6941480040550232,0.7330805659294128,0.0029135360382497,0.0038226080941967,0.0005205469897191,0.0506318043917417,0.2596642904024138,0.9100820422172546,6,3,0.7002734922236961,0.3841156393273861,23,"DYRK1A(0.910), MAPK1(0.791), PTGS2(0.733), PDE4B(0.694), NOX4(0.606)",349,甘草,300-399
MOL012266,rivularin,COc1cccc(O)c1-c1cc(=O)c2c(O)cc(OC)c(OC)c2o1,0.6251024305820465,0.2025226364494301,0.0155596782133216,0.1291588246822357,0.0011863528416142,0.8624854981899261,0.1383496075868606,0.7468836605548859,0.0040089335307129,0.0304807946085929,0.031854307744652,0.3079624902456999,0.0197505770665884,0.1151012811606051,0.0018649054109118,0.6440184861421585,0.5943597257137299,0.829972118139267,0.7907688915729523,0.0034063649363815,0.0046582486247643,0.0003159589132337,0.1392856370657682,0.2712633656511452,0.8624854981899261,7,4,0.6845160879087536,0.3840660582700481,23,"DYRK1A(0.862), PDE4B(0.830), PTGS2(0.791), HIF1A(0.747), MAPK1(0.644)",351,黄芩,300-399
MOL004991,7-Acetoxy-2-methylisoflavone,CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1,0.779373049736023,0.1713387995418998,0.0293417024892619,0.2506064176559448,0.0018362765913479,0.6667283624410629,0.117289500311017,0.8511337041854858,0.0004764351615449,0.0474842510884627,0.019002724904567,0.396845287643373,0.0476297757669073,0.1558972355628611,0.0052543521780989,0.5271276235580444,0.5256050080060959,0.7296510338783264,0.8552196621894836,0.0032282579923048,0.0047919965581968,3.0413242711802013e-05,0.0683874189853668,0.2719251865073213,0.8552196621894836,7,4,0.6913006685417447,0.383520004778867,23,"PTGS2(0.855), HIF1A(0.851), ALOX15(0.779), PDE4B(0.730), DYRK1A(0.667)",353,甘草,300-399
MOL002927,Skullcapflavone II,COc1cccc(O)c1-c1cc(=O)c2c(O)c(OC)c(OC)c(OC)c2o1,0.5308858454227448,0.2143231186782941,0.0160882228519767,0.1095667518675327,0.0014140778221189,0.8430309891700745,0.1416023522615432,0.7217070758342743,0.0038352502015186,0.0317856408655643,0.015954848146066,0.308520644903183,0.0182134964197757,0.1120640966983046,0.0019104888197034,0.6292446404695511,0.5650179386138916,0.8464609384536743,0.7815432846546173,0.0032015197211876,0.0056152237812057,0.0004018715180791,0.1756734875962138,0.264263556729178,0.8464609384536743,7,4,0.6929661690503607,0.3721877385306814,23,"PDE4B(0.846), DYRK1A(0.843), PTGS2(0.782), HIF1A(0.722), MAPK1(0.629)",382,黄芩,300-399
MOL004811,Glyasperin C,COc1c(CC=C(C)C)c(O)cc2c1C[C@H](c1ccc(O)cc1O)CO2,0.78270623087883,0.1952468285481359,0.0237020814763582,0.1436839587986469,0.0019248053033606,0.7118428945541382,0.09703079611063,0.7413277626037598,0.0017184990210807,0.0588898416608572,0.1135770883411169,0.3160887317499146,0.0326045646763759,0.1397625982463068,0.0036735426328959,0.5154479518532753,0.5861901342868805,0.5359728783369064,0.8355153799057007,0.0057828612625598,0.0049148411490023,0.0001227912198373,0.067034613341093,0.257163551128594,0.8355153799057007,7,4,0.7086236189209263,0.369312169343613,23,"PTGS2(0.836), ALOX15(0.783), HIF1A(0.741), DYRK1A(0.712), NOX4(0.586)",388,甘草,300-399
MOL004948,Isoglycyrol,COc1c2c(cc3oc(=O)c4c5ccc(O)cc5oc4c13)OC(C)(C)CC2,0.461714431643486,0.2393795228563249,0.0394954936637077,0.119469977915287,0.0040581969151389,0.8419130146503448,0.2742470875382423,0.7917219996452332,0.0045901320700068,0.0546544879907742,0.0149056343361735,0.4327951222658157,0.0425251452634256,0.1542484958663408,0.0064158244204008,0.6899336576461792,0.6332638263702393,0.8394639790058136,0.7686618566513062,0.0055295345955528,0.0071299307746812,0.0005871688117622,0.2071325145661831,0.2884276971940183,0.8419130146503448,6,4,0.6896324272214573,0.3683356049748522,23,"DYRK1A(0.842), PDE4B(0.839), HIF1A(0.792), PTGS2(0.769), MAPK1(0.690)",389,甘草,300-399
MOL000211,Mairin,O=C(N[C@H]1C[C@H]2C(=O)Nc3ccc(-c4ccc5c(c4)OCO5)cc3C(=O)N2C1)c1cccnc1,0.286609860137105,0.3197753326967358,0.0726260659196746,0.5819183886051178,0.0131077204605531,0.8598370552062988,0.4711959660053253,0.6509782373905182,0.0336674358695745,0.0794299785047769,0.3299377709627151,0.2694741878658533,0.0499142518237931,0.2021791208535432,0.0095756809096201,0.8685290813446045,0.2915293984115124,0.8142733573913574,0.3963471055030823,0.0115303126804064,0.0131525222423078,0.0005127595468366,0.0548336235806345,0.2904754440831281,0.8685290813446045,5,3,0.7150055753485535,0.3683186427290547,23,"MAPK1(0.869), DYRK1A(0.860), PDE4B(0.814), HIF1A(0.651), CTSB(0.582)",390,"大枣, 甘草, 白芍",300-399
