"human_symbol","kegg_gene_id","kegg_description"
"RUNX3","mmu:12399","Runx3, AML2, Cbfa3, Pebp2a3, Rx3; runt-related transcription factor 3 isoform 2"
"S100A8","mmu:20201","S100a8, 60B8Ag, B8Ag, CFAg, CP-10, Caga, MRP8, p8; protein S100-A8"
"SAT1","mmu:231583","Slc26a1, Sat1; sulfate anion transporter 1 isoform 2"
"SETD7","mmu:73251","Setd7, 1600028F23Rik, H3K4MT, KMT7, Set7, Set7/9, mKIAA1717; histone-lysine N-methyltransferase SETD7"
"SLAMF8","mmu:74748","Slamf8, 5830408F06Rik, Blame, SBBI42; SLAM family member 8 precursor"
"SLC1A5","mmu:20514","Slc1a5, AAAT, ASCT2, ATBO, M7V1, M7VS1, R16, RDRC, Slc1a7; neutral amino acid transporter B(0)"
"SMARCB1","mmu:20587","Smarcb1, Baf47, Ini1, SNF5/INI1, Snf5; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 isoform 1"
"SMURF2","mmu:66313","Smurf2, 2810411E22Rik; E3 ubiquitin-protein ligase SMURF2 isoform 1"
"SNCA","mmu:20617","Snca, NACP, alpha-Syn, alphaSYN; alpha-synuclein"
"SOCS1","mmu:12703","Socs1, Cish1, Cish7, JAB, SOCS-1, SSI-1; suppressor of cytokine signaling 1"
"SOCS2","mmu:216233","Socs2, 8030460M17, CIS2, Cish2, D130043N08Rik, JAB, SOCS-2, SSI-2, hg; suppressor of cytokine signaling 2"
"SOD1","mmu:20655","Sod1, B430204E11Rik, Cu/Zn-SOD, CuZnSOD, Ipo-1, Ipo1, SODC, Sod-1; superoxide dismutase [Cu-Zn]"
"SP1","mmu:19143","St14, Epithin, MT-SP1, Prss14, Tmprss14, mCAP3, matriptase; suppressor of tumorigenicity 14 protein homolog"
"SPATA2","mmu:263876","Spata2, mKIAA0757; spermatogenesis-associated protein 2 isoform 1"
"TBX2","mmu:21385","Tbx2; T-box transcription factor TBX2"
"TFRC","mmu:22042","Tfrc, 2610028K12Rik, CD71, E430033M20Rik, Mtvr1, TFR, TFR1, TR, Trfr, p90; transferrin receptor protein 1"
"TLR4","mmu:21898","Tlr4, Lps, Ly87, Ran/M1, Rasl2-8; toll-like receptor 4 precursor"
"TNFAIP1","mmu:21927","Tnfaip1, Bacurd2, Edp-1, Edp1, Tnfip1; BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2"
"TNFAIP3","mmu:231130","Tnip2, 1810020H16Rik, ABIN-2; TNFAIP3-interacting protein 2"
"TXNIP","mmu:56338","Txnip, 1200008J08Rik, Hyplip1, THIF, Tbp-2, VDUP1; thioredoxin-interacting protein isoform 1"
"WNT5A","mmu:22418","Wnt5a, 8030457G12Rik, Wnt-5a; protein Wnt-5a isoform 1 precursor"
"WWTR1","mmu:97064","Wwtr1, 2310058J06Rik, 2610021I22Rik, Taz; WW domain-containing transcription regulator protein 1 isoform 2"
"YAP1","mmu:22601","Yap1, Yap, Yap65, Yki, Yorkie; transcriptional coactivator YAP1 isoform 1"
"ZEB1","mmu:21417","Zeb1, 3110032K11Rik, AREB6, BZP, MEB1, Nil2, TCF-8, Tcf18, Tcf8, Tw, ZEB, Zfhep, Zfhx1a, Zfx1a, Zfx1ha, [delta]EF1; zinc finger E-box-binding homeobox 1 isoform 1"
