"pathway_code","n_genes","gene_list"
"05208",11,"COX7A1;HIF1A;HMOX1;KEAP1;MAP3K14;MAPK1;MAPK14;NOX4;PRKD1;SAT1;SOD1"
"05210",1,"MAPK1"
"05211",2,"HIF1A;MAPK1"
"05212",3,"E2F1;E2F3;MAPK1"
"05213",1,"MAPK1"
"05214",3,"E2F1;E2F3;MAPK1"
"05215",4,"E2F1;E2F3;MAPK1;ZEB1"
"05216",1,"MAPK1"
"05217",1,"WNT5A"
"05218",3,"E2F1;E2F3;MAPK1"
"05219",3,"E2F1;E2F3;MAPK1"
"05220",3,"E2F1;E2F3;MAPK1"
"05221",2,"MAPK1;MPO"
"05222",3,"E2F1;E2F3;PTGS2"
"05223",3,"E2F1;E2F3;MAPK1"
"05224",4,"E2F1;E2F3;MAPK1;WNT5A"
"05225",8,"BRD7;E2F1;E2F3;HMOX1;KEAP1;MAPK1;SMARCB1;WNT5A"
"05226",4,"E2F1;E2F3;MAPK1;WNT5A"
"05230",3,"HIF1A;MAPK1;SLC1A5"
"05231",2,"HIF1A;MAPK1"
"05235",5,"HIF1A;IFNG;MAPK1;MAPK14;TLR4"
"05321",3,"IFNG;IL1B;TLR4"
"05322",1,"IFNG"
"05323",3,"IFNG;IL1B;TLR4"
"05330",1,"IFNG"
"05332",2,"IFNG;IL1B"
"05410",1,"EDN1"
"05415",2,"COX7A1;MAPK14"
"05417",6,"IL1B;IRF7;MAPK1;MAPK14;NLRP3;TLR4"
"05418",6,"EDN1;HMOX1;IFNG;IL1B;KEAP1;MAPK14"
