gene,log2FC,pvalue,mean_plus,mean_minus,in_core
Ndufb3,-0.176863515741334,3.2294019283222153e-07,0.9622535298575704,1.0877541184182022,False
Rpl12,0.5820565349115213,3.376727411848827e-07,1.0546221272572909,0.7044990356076757,False
Larp1b,0.3883289518949491,3.9657084656606747e-07,4.63920499254384,3.544417730613089,False
Tuba4a,0.2122235807151989,4.788067374378503e-07,2.8921399949265245,2.496511941277984,False
Tmem47,0.9440014365640967,4.82342156557574e-07,4.526905235554382,2.3530364508967745,False
Ralb,0.32618420412454247,4.90703907487827e-07,1.6303105698496825,1.300406449271538,False
Slc16a2,0.28552118989988984,5.088040059218475e-07,1.9451106656224708,1.5958566316107512,False
Clk1,0.38090143834324436,5.463323108180516e-07,1.403367253738944,1.0777265455489575,False
Ptbp3,-0.051852269014611055,5.975813733777778e-07,1.701662100341255,1.7639343380693278,False
Cetn2,0.07906712068782529,6.453058761299919e-07,1.6282221905525938,1.5413884284601584,False
Pcsk2,0.0,6.49340552268858e-07,0.0,6.52077117238276,False
Tmem27,0.0,6.49340552268858e-07,0.0,6.6337340319378235,False
Slc24a5,0.34117288434033854,6.594528709218006e-07,3.57973143895656,2.825837434564,False
Plekhb2,0.10488322423334095,6.866663129984016e-07,2.6110399620777827,2.4279543795567333,False
Mcl1,0.31934727908764243,7.162718481510175e-07,1.399823857270784,1.1218641780610714,False
2900060B14Rik,-0.18970500560372736,8.401337826366759e-07,3.268927065609188,3.7283109636747356,False
Ccl27a,0.32226746795802924,8.56096264753105e-07,3.4425268179219226,2.753373686951194,False
Grhpr,0.18556287359678597,9.292818679825533e-07,2.6378678689627404,2.3194928967749133,False
Itm2c,0.30379992266031675,1.0161381187530137e-06,0.8027490541884714,0.650319704410108,False
Npl,-0.36055974795184603,1.0313505081854492e-06,2.5722733708833387,3.30260338079553,False
Ndufs3,-0.23220512895926854,1.0820010791312672e-06,1.0722031207589906,1.2594408510608897,False
Sirpa,0.3509248019322055,1.0987489264951517e-06,1.4656055370756729,1.149153926951553,False
Cd93,-0.09825787230592631,1.2334477217930555e-06,1.8208949395664393,1.9492316561178846,False
Skil,0.14601981994712113,1.5321183713867556e-06,1.8540461112297648,1.6755762090867035,False
Rbm3,0.4674889711139039,1.5688048607552357e-06,0.8319802700761852,0.6017066681921844,False
