"pathway_name","source","target","prob","n_interactions"
"Glutamate","Glutamatergic 8","Glutamatergic 1",402.1654522455,376
"Glutamate","Glutamatergic 8","GABAergic 6",402.042854623753,368
"Glutamate","Neuro 1","GABAergic 3",400.813330567346,369
"Glutamate","Glutamatergic 1","GABAergic 5",399.331617280476,353
"Glutamate","Glutamatergic 3","Glutamatergic 6",398.827262863045,384
"Glutamate","GABAergic 2","GABAergic 3",398.624535290042,368
"Glutamate","GABAergic 3","GABAergic 1",397.780602698404,368
"Glutamate","GABAergic 3","Glutamatergic 10",396.590286894177,368
"Glutamate","GABAergic 6","GABAergic 1",395.651587385817,376
"Glutamate","Glutamatergic 7","GABAergic 4",395.527161888636,376
"Glutamate","GABAergic 6","Glutamatergic 10",394.480245022493,368
"Glutamate","Glutamatergic 9","GABAergic 5",393.241328627482,353
"Glutamate","Neuro 1","GABAergic 2",391.818973779042,369
"Glutamate","GABAergic 3","Glutamatergic 3",391.486381121541,360
"Glutamate","Neuro 1","Glutamatergic 7",390.662339885321,361
"Glutamate","GABAergic 2","GABAergic 2",389.687755388929,368
"Glutamate","Glutamatergic 7","Glutamatergic 6",389.503271113156,384
"Glutamate","GABAergic 6","Glutamatergic 3",389.485298295897,384
"Glutamate","GABAergic 2","Glutamatergic 7",388.550948188729,360
"Glutamate","Neuro 1","Glutamatergic 4",387.879383215987,353
"Glutamate","GABAergic 2","Glutamatergic 4",385.774828433262,352
"Glutamate","Glutamatergic 6","GABAergic 5",384.55195035818,352
"Glutamate","Glutamatergic 5","GABAergic 4",384.341724396491,368
"Glutamate","Glutamatergic 8","GABAergic 4",381.322956227207,368
"Glutamate","Neuro 1","Glutamatergic 5",379.894632591134,361
"Glutamate","Neuro 1","Glutamatergic 9",379.814686266114,361
"Glutamate","Glutamatergic 4","GABAergic 5",379.713826111977,352
"Glutamate","Glutamatergic 5","Glutamatergic 6",378.546929821441,384
"Glutamate","GABAergic 2","Glutamatergic 5",377.828313025412,360
"Glutamate","GABAergic 2","Glutamatergic 9",377.741733973883,360
"Glutamate","Glutamatergic 8","Glutamatergic 6",375.565636889588,384
"Glutamate","Neuro 1","Neuro 1",375.458744029829,377
"Glutamate","Glutamatergic 3","GABAergic 5",374.703492430052,352
"Glutamate","GABAergic 3","Glutamatergic 8",374.542850010578,360
"Glutamate","GABAergic 2","Neuro 1",373.384912172859,376
"Glutamate","GABAergic 6","Glutamatergic 8",372.632701148875,376
"Glutamate","Neuro 1","Glutamatergic 1",370.79473771156,385
"Glutamate","Neuro 1","GABAergic 6",370.722515789356,385
"Glutamate","GABAergic 2","Glutamatergic 1",368.770312212156,384
"Glutamate","GABAergic 2","GABAergic 6",368.717945528125,384
"Glutamate","GABAergic 3","Glutamatergic 2",367.095850482688,360
"Glutamate","Glutamatergic 7","GABAergic 5",365.943478766512,352
"Glutamate","GABAergic 6","Glutamatergic 2",365.251178955448,384
"Glutamate","GABAergic 3","GABAergic 3",357.034077204902,360
"Glutamate","Glutamatergic 5","GABAergic 5",355.649851102269,352
"Glutamate","GABAergic 6","GABAergic 3",355.184873007428,368
"Glutamate","GABAergic 1","GABAergic 1",353.615969521851,368
"Glutamate","Glutamatergic 8","GABAergic 5",352.775134470444,344
"Glutamate","GABAergic 1","Glutamatergic 10",352.560969916421,368
"Glutamate","GABAergic 4","GABAergic 1",351.814242841855,368
"Glutamate","Neuro 1","GABAergic 4",351.567367087535,377
"Glutamate","GABAergic 4","Glutamatergic 10",350.777844992155,368
"Glutamate","GABAergic 2","GABAergic 4",349.642672440235,376
"Glutamate","GABAergic 3","GABAergic 2",349.042273450475,360
"Glutamate","GABAergic 3","Glutamatergic 7",348.041890711165,352
"Glutamate","GABAergic 1","Glutamatergic 3",348.014793858106,360
"Glutamate","GABAergic 6","GABAergic 2",347.221968687044,368
"Glutamate","Neuro 1","Glutamatergic 6",346.224403752155,385
"Glutamate","GABAergic 4","Glutamatergic 3",346.217372899277,360
"Glutamate","GABAergic 6","Glutamatergic 7",346.175826089875,360
"Glutamate","GABAergic 3","Glutamatergic 4",345.639613963202,352
"Glutamate","GABAergic 2","Glutamatergic 6",344.331246517357,384
"Glutamate","GABAergic 6","Glutamatergic 4",343.719915050906,360
"Glutamate","GABAergic 3","Glutamatergic 5",338.49410622453,360
"Glutamate","GABAergic 3","Glutamatergic 9",338.321049439947,352
"Glutamate","GABAergic 6","Glutamatergic 5",336.722361782919,368
"Glutamate","GABAergic 6","Glutamatergic 9",336.555265348264,360
"Glutamate","GABAergic 3","Neuro 1",334.498135974837,376
"Glutamate","GABAergic 1","Glutamatergic 8",332.948692937901,360
"Glutamate","GABAergic 6","Neuro 1",332.660147530073,376
"Glutamate","GABAergic 5","GABAergic 1",332.219783514978,368
"Glutamate","GABAergic 4","Glutamatergic 8",331.321085558703,368
"Glutamate","GABAergic 5","Glutamatergic 10",331.228702696677,368
"Glutamate","GABAergic 3","Glutamatergic 1",330.305728632697,376
"Glutamate","GABAergic 3","GABAergic 6",330.217028094634,368
"Glutamate","GABAergic 6","Glutamatergic 1",328.583980453389,384
"Glutamate","GABAergic 6","GABAergic 6",328.537320370101,384
"Glutamate","GABAergic 5","Glutamatergic 3",326.957363237824,360
"Glutamate","GABAergic 1","Glutamatergic 2",326.329191557177,360
"Glutamate","Neuro 1","GABAergic 5",325.265001779621,353
"Glutamate","GABAergic 4","Glutamatergic 2",324.629303936151,360
"Glutamate","GABAergic 2","GABAergic 5",323.503763751356,352
"Glutamate","GABAergic 1","GABAergic 3",317.390793204849,360
"Glutamate","GABAergic 4","GABAergic 3",315.762581107577,360
"Glutamate","GABAergic 3","GABAergic 4",313.127374652971,360
"Glutamate","GABAergic 5","Glutamatergic 8",312.802764151069,360
"Glutamate","Glutamatergic 10","OPC",311.800374925324,360
"Glutamate","Glutamatergic 2","OPC",311.657889180952,360
"Glutamate","GABAergic 6","GABAergic 4",311.587228360015,384
"Glutamate","GABAergic 1","GABAergic 2",310.287719318279,360
"Glutamate","GABAergic 1","Glutamatergic 7",309.396266487582,352
"Glutamate","Glutamatergic 1","OPC",308.910941226939,361
"Glutamate","GABAergic 4","GABAergic 2",308.701640709705,360
"Glutamate","GABAergic 3","Glutamatergic 6",308.37036160904,376
"Glutamate","GABAergic 4","Glutamatergic 7",307.805767097607,352
"Glutamate","GABAergic 1","Glutamatergic 4",307.261407584105,352
"Glutamate","GABAergic 6","Glutamatergic 6",306.80813457147,384
"Glutamate","GABAergic 5","Glutamatergic 2",306.58380588849,360
"Glutamate","GABAergic 4","Glutamatergic 4",305.684711999413,352
"Glutamate","Glutamatergic 9","OPC",304.257697878197,369
