rank,MOL_ID,molecule_name,SMILES,composite_score_adjusted,composite_score,NFE2L2,HMOX1,GPX4,TFRC,SLC7A11,ACSL4,FTH1,PTGS2,KEAP1
392,MOL000214,Mangiferonic acid,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(=O)O,0.5161445321599211,0.5161445321599211,0.7466358542442322,0.5398353934288025,0.47771504521369934,0.26969102025032043,0.28978604078292847,0.2543770670890808,0.2742631435394287,0.7600538730621338,0.7230979204177856
393,MOL011287,lucidone A,CC(=O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O,0.5157196714778738,0.5157196714778738,0.747062087059021,0.52377849817276,0.47148773074150085,0.2761240005493164,0.2869243919849396,0.25594061613082886,0.2849424481391907,0.7590538263320923,0.7342737913131714
394,MOL010813,Benzo[a]carbazole,C=CCNC(=S)S[C@@H](C)C(=O)CC,0.5155295256005868,0.5155295256005868,0.746939480304718,0.587450385093689,0.5563763380050659,0.27555784583091736,0.3292522430419922,0.2661493718624115,0.28416919708251953,0.760489284992218,0.7249403595924377
395,MOL000330,piperlactam S,COc1c(O)cc2c3c(cc4ccccc4c13)N(OC)C2=O,0.5146502893584274,0.5146502893584274,0.7500946521759033,0.5604439973831177,0.5060455203056335,0.262148916721344,0.29782307147979736,0.25792378187179565,0.28369617462158203,0.7603296041488647,0.7232406735420227
396,MOL014125,Scabraside A Avilov S A,CCc1ccc2cccc3c2c1Cc1c(ccc(O)c1OC)C[C@@H](Cc1cc[nH]c1)[C@H](O)[C@@H]1C(=O)[C@@](c2cc(O)cc(C4(NC)CCCCC4)c2)([C@@H]2CSSC[C@H]4CC5(CCCC5)CC[C@@H]4Oc4cc2ccc4OCO)[C@@H](O)C[C@H]1CSS[C@H]3CO,0.5140322763291824,0.5140322763291824,0.7501928210258484,0.562809944152832,0.4974243640899658,0.2785719633102417,0.30384087562561035,0.2570459246635437,0.2835121154785156,0.7608522772789001,0.7354267835617065
397,MOL005603,Heptyl phthalate,C=C1CC[C@H](O)[C@]2(C)C[C@H](OC(C)=O)C3=C(C(C)C)CC[C@@]3(C)C[C@@]12O,0.5137683901316319,0.5137683901316319,0.7489562034606934,0.5913960933685303,0.5254399180412292,0.2884400486946106,0.31036877632141113,0.26791173219680786,0.29154467582702637,0.7601819038391113,0.7355446219444275
398,,Areapillin,COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)c(O)cc1O,0.5134433365468626,0.5134433365468626,0.7492769360542297,0.6345357894897461,0.5753351449966431,0.28814345598220825,0.33613693714141846,0.26569563150405884,0.3054061233997345,0.7584929466247559,0.7355431318283081
399,MOL008099,yadanzioside M,CC[C@H]1O[C@@](OC)([C@H](C)[C@@H](O)[C@@H](C)[C@H]2OC(=O)/C(C)=C/C(C)=C[C@H](C)[C@@H](O)[C@H](C)C/C(C)=C/C=C/[C@H]2OC)C[C@@H](OC(=O)/C=C/C(N)=O)[C@H]1C,0.513416288801977,0.513416288801977,0.7458900809288025,0.5606314539909363,0.5101156234741211,0.27987784147262573,0.3004719018936157,0.25573134422302246,0.2740195095539093,0.7600761651992798,0.7307501435279846
400,MOL001418,galeopsin,CC(=O)O[C@@]1(C)C(=O)C[C@H]2C(C)(C)CCC[C@]2(C)[C@@]1(O)CCc1ccoc1,0.5132688162170247,0.5132688162170247,0.7498005628585815,0.5681180357933044,0.5287009477615356,0.2823670506477356,0.3028583824634552,0.2628096342086792,0.2820839285850525,0.7592816352844238,0.7336914539337158
401,MOL011256,ganolucidic acid E,C/C(=C\CC[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,0.5119087385035218,0.5119087385035218,0.7451232671737671,0.5407081842422485,0.46596798300743103,0.26829156279563904,0.2886965870857239,0.2508717477321625,0.2687373757362366,0.7600988149642944,0.7175197601318359
402,MOL004053,Isodalbergin,COc1cc2c(-c3ccccc3)cc(=O)oc2cc1O,0.5116230598595422,0.5116230598595422,0.7487471103668213,0.5766050815582275,0.5267813801765442,0.2712714374065399,0.31244030594825745,0.2664574980735779,0.28264743089675903,0.7603650689125061,0.7219554781913757
403,MOL001712,PGB,CC(=O)O[C@@H]1[C@@H]2[C@H](OC(C)=O)C=C3[C@@H]4CC[C@H]([C@H](C)[C@H](O)CCC(C)C)[C@@]4(C)CC[C@]3(O)[C@@]2(C)CC[C@@H]1OC(C)=O,0.5109131995429637,0.5109131995429637,0.7468870878219604,0.5707434415817261,0.4969418942928314,0.27024757862091064,0.2992416024208069,0.26173001527786255,0.27053752541542053,0.7599130868911743,0.7214709520339966
