MOL_ID,molecule_name,SMILES,ALOX15,ALOX15_uncertainty,BCL6,BCL6_uncertainty,CD74,CD74_uncertainty,CTSB,CTSB_uncertainty,CXCL10,CXCL10_uncertainty,DYRK1A,DYRK1A_uncertainty,EPHA4,EPHA4_uncertainty,HIF1A,HIF1A_uncertainty,HMOX1,HMOX1_uncertainty,IL1B,IL1B_uncertainty,KDM6B,KDM6B_uncertainty,KEAP1,KEAP1_uncertainty,LCN2,LCN2_uncertainty,LGMN,LGMN_uncertainty,LPCAT3,LPCAT3_uncertainty,MAPK1,MAPK1_uncertainty,NOX4,NOX4_uncertainty,PDE4B,PDE4B_uncertainty,PTGS2,PTGS2_uncertainty,SAT1,SAT1_uncertainty,SP1,SP1_uncertainty,TFRC,TFRC_uncertainty,TLR4,TLR4_uncertainty,mean_uncertainty,max_uncertainty,uncertainty_penalty,composite_score,avg_score,max_score,n_hits,n_targets,top_targets,rank
MOL010813,Benzo[a]carbazole,C=CCNC(=S)S[C@@H](C)C(=O)CC,0.6148895025253296,0.0866788923740387,0.5657429695129395,0.07589615881443024,0.4517022967338562,0.06671484559774399,0.672659695148468,0.050364136695861816,0.4029209017753601,0.09997791796922684,0.6931190490722656,0.06968248635530472,0.5728206634521484,0.08949155360460281,0.608672022819519,0.09247781336307526,0.495451956987381,0.08127670735120773,0.6801457405090332,0.04838068038225174,0.4476611018180847,0.092387855052948,0.5619369745254517,0.07302998006343842,0.474542498588562,0.0676802471280098,0.45646727085113525,0.07921524345874786,0.26184433698654175,0.0984024927020073,0.6029708981513977,0.0746924877166748,0.614311158657074,0.08665744215250015,0.7250659465789795,0.054450925439596176,0.719738781452179,0.058102115988731384,0.25576356053352356,0.1367369443178177,0.5779449939727783,0.06683196872472763,0.2808918058872223,0.1157984808087349,0.6790644526481628,0.05640468746423721,0.07918835431337357,0.1367369443178177,0.688095188750446,0.4623343684731453,0.5398403730081476,0.7250659465789795,14,23,"PDE4B(0.725), PTGS2(0.720), DYRK1A(0.693), IL1B(0.680), TLR4(0.679)",451
MOL012141,Caribine,OC1CN2Cc3cc4c(cc3[C@@H]3[C@H]5NCCC[C@H]5C=C1[C@H]32)OCO4,0.6060768365859985,0.06855863332748413,0.47624459862709045,0.07399959862232208,0.41364040970802307,0.06631509959697723,0.6083952188491821,0.05369090288877487,0.34520041942596436,0.09849993139505386,0.7271827459335327,0.060848332941532135,0.5845149755477905,0.07827149331569672,0.591208279132843,0.07686509937047958,0.4914715886116028,0.08876422047615051,0.6611093878746033,0.05428434908390045,0.41912439465522766,0.07942730188369751,0.5161414742469788,0.069739431142807,0.47817039489746094,0.07551118731498718,0.40971463918685913,0.09377303719520569,0.2752881646156311,0.10546493530273438,0.6873993873596191,0.057513877749443054,0.603241503238678,0.08577080816030502,0.6506396532058716,0.05761002004146576,0.6669609546661377,0.06049783527851105,0.2643231749534607,0.14355559647083282,0.5823243856430054,0.06721551716327667,0.29388201236724854,0.11443517357110977,0.6320309638977051,0.05610610172152519,0.07768341898918152,0.14355559647083282,0.7523253162389141,0.4611189913540829,0.5210558940535006,0.7271827459335327,13,23,"DYRK1A(0.727), MAPK1(0.687), PTGS2(0.667), IL1B(0.661), PDE4B(0.651)",452
MOL000456,Phaseolin,C[N@+]12CCCC[C@@H]1[C@H](COC(=O)c1ccc(Cl)cc1)CCC2,0.6191267967224121,0.08158198744058609,0.551134467124939,0.07612568140029907,0.4521091878414154,0.07020300626754761,0.6493764519691467,0.04754100367426872,0.40787050127983093,0.0970129519701004,0.7036306858062744,0.06415298581123352,0.5836899280548096,0.07242786884307861,0.6157841682434082,0.07111527025699615,0.5029785633087158,0.07715147733688354,0.6793521642684937,0.05815801024436951,0.45317718386650085,0.09320031106472015,0.5585914850234985,0.07236282527446747,0.4816920757293701,0.08168239891529083,0.4585176706314087,0.07165312767028809,0.27960097789764404,0.10968734323978424,0.6311010718345642,0.07140940427780151,0.6178977489471436,0.08290165662765503,0.6981654167175293,0.056036099791526794,0.7071166038513184,0.04944699630141258,0.26444175839424133,0.14600175619125366,0.5967743396759033,0.06265972554683685,0.2931387424468994,0.11666357517242432,0.6775574684143066,0.04875024035573006,0.07730111479759216,0.14600175619125366,0.768641929033117,0.4608227275095937,0.542731541654338,0.7071166038513184,15,23,"PTGS2(0.707), DYRK1A(0.704), PDE4B(0.698), IL1B(0.679), TLR4(0.678)",453
MOL004199,Corynoloxine,CN1[C@H]2O[C@H]3Cc4cc5c(cc4[C@@H]1[C@@]3(C)c1ccc3c(c12)OCO3)OCO5,0.6061149835586548,0.07847096025943756,0.5753498077392578,0.06630665063858032,0.453506201505661,0.06664378941059113,0.6490864157676697,0.05105702579021454,0.4387265741825104,0.08462435752153397,0.6770726442337036,0.06369686126708984,0.5732632875442505,0.07025094330310822,0.5959600210189819,0.07337256520986557,0.502143144607544,0.08124281466007233,0.664851188659668,0.050464026629924774,0.4603879153728485,0.08459673821926117,0.5631092190742493,0.06361526250839233,0.4839949905872345,0.07550360262393951,0.4656201899051666,0.08229231834411621,0.2816504240036011,0.10978849232196808,0.612358808517456,0.07395944744348526,0.613066554069519,0.078046053647995,0.6943458318710327,0.05470125004649162,0.6929073929786682,0.05709415674209595,0.2664065659046173,0.13435736298561096,0.6038610935211182,0.05249932408332825,0.2987551987171173,0.11805610358715057,0.6678868532180786,0.0468694269657135,0.0746743232011795,0.13435736298561096,0.8807525004384374,0.460198745802044,0.540888056806896,0.6943458318710327,15,23,"PDE4B(0.694), PTGS2(0.693), DYRK1A(0.677), TLR4(0.668), IL1B(0.665)",454
MOL002005,Hinokinin,O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,0.6204691529273987,0.07565262168645859,0.5485913753509521,0.0746578574180603,0.4522577226161957,0.08195596933364868,0.6496962308883667,0.05228820815682411,0.402620792388916,0.09988202154636383,0.7068295478820801,0.05374113470315933,0.5987015962600708,0.06547901779413223,0.6153788566589355,0.07257948070764542,0.5122230648994446,0.08210144937038422,0.6833776831626892,0.048436686396598816,0.45484521985054016,0.09398913383483887,0.5589990615844727,0.06994408369064331,0.49268147349357605,0.0845748707652092,0.45266395807266235,0.08182556927204132,0.2904725670814514,0.12150837481021881,0.6550276279449463,0.05955382063984871,0.6237095594406128,0.07486923038959503,0.6917428374290466,0.060375504195690155,0.7075363397598267,0.05019640177488327,0.2663975954055786,0.14569054543972015,0.589974582195282,0.059984344989061356,0.3034096658229828,0.12902140617370605,0.6738992929458618,0.04759737849235535,0.07764805108308792,0.14569054543972015,0.7538348064348542,0.45966665305273435,0.5457176436548647,0.7075363397598267,15,23,"PTGS2(0.708), DYRK1A(0.707), PDE4B(0.692), IL1B(0.683), TLR4(0.674)",455
MOL003663,sophoranol,O=C1CCCC2[C@H]3CCCN4CCC[C@@](O)(CN12)[C@@H]34,0.6100162267684937,0.07639516144990921,0.5765156149864197,0.07573549449443817,0.461529940366745,0.06880810111761093,0.6552335619926453,0.05271229147911072,0.4165017604827881,0.0929216742515564,0.6916450262069702,0.06527215987443924,0.571077823638916,0.08505336195230484,0.6007094383239746,0.07779157906770706,0.49540236592292786,0.07941891252994537,0.6731102466583252,0.055058903992176056,0.45953837037086487,0.085443876683712,0.5642750263214111,0.06053685024380684,0.48097681999206543,0.08433520793914795,0.4599651098251343,0.0924980640411377,0.2652926743030548,0.09696014970541,0.6114501953125,0.07788267731666565,0.6104171276092529,0.07380035519599915,0.7086296081542969,0.05606529489159584,0.7078636884689331,0.04668905586004257,0.2608601450920105,0.14293786883354187,0.5922046303749084,0.0619826540350914,0.27381354570388794,0.10417783260345459,0.675086498260498,0.053562380373477936,0.07678434252738953,0.14293786883354187,0.7906975936613896,0.4583610336475136,0.5400919758755228,0.7086296081542969,14,23,"PDE4B(0.709), PTGS2(0.708), DYRK1A(0.692), TLR4(0.675), IL1B(0.673)",456
MOL007356,solanocapsine,C[C@H]1CN[C@@H]2[C@@H](C)[C@H]3[C@@H](C[C@H]4[C@@H]5CC[C@H]6C[C@@H](N)CC[C@]6(C)[C@H]5CC[C@]34C)O[C@@]2(O)C1,0.6098954677581787,0.06828120350837708,0.5512367486953735,0.0773225650191307,0.4591614305973053,0.07559838891029358,0.6356828808784485,0.05522700026631355,0.4163772761821747,0.09596166014671326,0.7088592052459717,0.05745775252580643,0.5841197967529297,0.0763009637594223,0.6073180437088013,0.08130627870559692,0.5005513429641724,0.07923927158117294,0.665939211845398,0.05193620175123215,0.466594398021698,0.09114830195903778,0.5605970621109009,0.06654933840036392,0.5008683204650879,0.07785287499427795,0.4582311809062958,0.08683422207832336,0.28620466589927673,0.11152135580778122,0.65229332447052,0.06603299081325531,0.616113007068634,0.09089042991399765,0.6734901666641235,0.06091822683811188,0.6907471418380737,0.05142687261104584,0.27197444438934326,0.14714691042900085,0.6057630777359009,0.06870599091053009,0.2919211983680725,0.11109429597854614,0.659189760684967,0.05249228700995445,0.07831501215696335,0.14714691042900085,0.7253691347769289,0.4567596261375546,0.5423099631848542,0.7088592052459717,16,23,"DYRK1A(0.709), PTGS2(0.691), PDE4B(0.673), IL1B(0.666), TLR4(0.659)",457
MOL003152,Gentisin,COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,0.6082940697669983,0.07844346761703491,0.4919867217540741,0.07827601581811905,0.41510939598083496,0.07799524068832397,0.632353663444519,0.06374815851449966,0.3352145254611969,0.09669429063796997,0.7260290384292603,0.0568331703543663,0.578676700592041,0.08236492425203323,0.5948148965835571,0.08033200353384018,0.4836796224117279,0.0781441256403923,0.6729519963264465,0.04997279867529869,0.40494945645332336,0.09639416635036469,0.5238226652145386,0.07448684424161911,0.46967968344688416,0.07907994091510773,0.4155537188053131,0.08445888012647629,0.26891782879829407,0.09251080453395844,0.681896448135376,0.06263022124767303,0.6046156883239746,0.08789921551942825,0.6788215637207031,0.052565351128578186,0.6938849091529846,0.05424712598323822,0.2575394809246063,0.1380428820848465,0.5711301565170288,0.06289507448673248,0.2866470515727997,0.11581642925739288,0.6638158559799194,0.0508694127202034,0.07803045958280563,0.1380428820848465,0.7375137418052302,0.45366451297675575,0.5243645712085392,0.7260290384292603,13,23,"DYRK1A(0.726), PTGS2(0.694), MAPK1(0.682), PDE4B(0.679), IL1B(0.673)",458
MOL000443,Erythraline,CO[C@H]1C=CC2=CCN3CCc4cc5c(cc4[C@]23C1)OCO5,0.6060713529586792,0.08202943205833435,0.5011234879493713,0.07733643054962158,0.4206567108631134,0.06839656829833984,0.6327669024467468,0.05676087737083435,0.36057963967323303,0.100754514336586,0.7244645953178406,0.06002959609031677,0.5819460153579712,0.08012178540229797,0.5985831022262573,0.08114185929298401,0.48456448316574097,0.07763680070638657,0.6666088104248047,0.054542623460292816,0.4192947447299957,0.09263462573289871,0.530753493309021,0.06784024089574814,0.46862563490867615,0.06808933615684509,0.414907306432724,0.08106649667024612,0.27611231803894043,0.10577024519443512,0.6773272752761841,0.0630241334438324,0.6178635954856873,0.07974671572446823,0.6771758794784546,0.06754954159259796,0.691641092300415,0.06353180855512619,0.2599823474884033,0.14303353428840637,0.5862707495689392,0.06750122457742691,0.29230353236198425,0.10964912921190262,0.6591621041297913,0.06095036119222641,0.07865816354751587,0.14303353428840637,0.710723550206797,0.4533321855100319,0.528208051038825,0.7244645953178406,14,23,"DYRK1A(0.724), PTGS2(0.692), MAPK1(0.677), PDE4B(0.677), IL1B(0.667)",459
MOL008189,Kokusagine,COc1c2ccoc2nc2c3c(ccc12)OCO3,0.6102070808410645,0.07259926944971085,0.5036832094192505,0.07592074573040009,0.4186457693576813,0.07489487528800964,0.6246436238288879,0.05538879707455635,0.3480222225189209,0.09155441075563431,0.723528265953064,0.06316075474023819,0.573978066444397,0.090306855738163,0.6060972213745117,0.08269992470741272,0.48607346415519714,0.08341751992702484,0.6685727834701538,0.0537591353058815,0.40752294659614563,0.08428171277046204,0.527431845664978,0.0774935632944107,0.4727925956249237,0.07625596225261688,0.4243423342704773,0.09202975034713745,0.27163320779800415,0.1047479435801506,0.6866235136985779,0.06422238051891327,0.6122904419898987,0.08192338049411774,0.6794719099998474,0.058271221816539764,0.700977623462677,0.055848173797130585,0.2546326518058777,0.13486561179161072,0.5776181817054749,0.06824097037315369,0.283176064491272,0.1145143210887909,0.6570025682449341,0.049155302345752716,0.07850228250026703,0.13486561179161072,0.7173765002551349,0.451328846217162,0.5269116344659225,0.723528265953064,14,23,"DYRK1A(0.724), PTGS2(0.701), MAPK1(0.687), PDE4B(0.679), IL1B(0.669)",460
MOL011939,vitrofolal B,COc1ccc(-c2c(O)c(C=O)cc3ccc(O)c(OC)c23)cc1OC,0.6165350675582886,0.07729624211788177,0.5736944675445557,0.06397300958633423,0.4647582173347473,0.06793658435344696,0.6497893929481506,0.059699803590774536,0.40824252367019653,0.09283023327589035,0.6909525394439697,0.06716351211071014,0.5710128545761108,0.08532632142305374,0.609573245048523,0.07944585382938385,0.4939650893211365,0.07213637977838516,0.6757299304008484,0.06240629404783249,0.45886048674583435,0.08896379172801971,0.5608991384506226,0.06849261373281479,0.48486295342445374,0.07905874401330948,0.45859718322753906,0.08644888550043106,0.2687952518463135,0.10127519816160202,0.610439658164978,0.07063829153776169,0.6224321722984314,0.08036737143993378,0.7124285697937012,0.0597260519862175,0.7091019153594971,0.06279600411653519,0.26416677236557007,0.14286035299301147,0.590213418006897,0.06677273660898209,0.2811339497566223,0.10996795445680618,0.6780346632003784,0.045085541903972626,0.07785511761903763,0.14286035299301147,0.7449972771478163,0.45060241841978205,0.5414878026298855,0.7124285697937012,14,23,"PDE4B(0.712), PTGS2(0.709), DYRK1A(0.691), TLR4(0.678), IL1B(0.676)",461
