MOL_ID,molecule_name,SMILES,ALOX15,BCL6,CD74,CTSB,CXCL10,DYRK1A,EPHA4,HIF1A,HMOX1,IL1B,KDM6B,KEAP1,LCN2,LGMN,LPCAT3,MAPK1,NOX4,PDE4B,PTGS2,SAT1,SP1,TFRC,TLR4,avg_score,max_score,n_hits,n_high,consistency,composite_score,n_targets,top_targets,rank
MOL000793,C09367,C[C@@H]1C=C2OC(=O)C3=C2[C@H](CCC3)[C@]12C[C@@H](c1ccoc1)OC2=O,0.808979868888855,0.205280696565751,0.08628016337752342,0.3736942932009697,0.014109031530097127,0.5915972739458084,0.27600639313459396,0.9035386443138123,0.008704152976861224,0.5087938457727432,0.1770768966525793,0.5602072924375534,0.1310526207089424,0.20852342038415372,0.035100601613521576,0.45649297535419464,0.7359172105789185,0.5628814548254013,0.8434082269668579,0.0499050822108984,0.06374398898333311,0.0023826511824154295,0.5003560110926628,0.3523492520303673,0.9035386443138123,9,4,0.7101686239133043,0.520213260121348,23,"HIF1A(0.904), PTGS2(0.843), ALOX15(0.809), NOX4(0.736), DYRK1A(0.592)",90
MOL004077,sugeonyl acetate,CC(=O)O[C@@H]1C2=C(C)C(=O)C[C@]23[C@H](C)CC[C@H]1C3(C)C,0.8153373301029205,0.18690909154247493,0.1025116452947259,0.571345180273056,0.018900795839726925,0.590194508433342,0.37740257382392883,0.870728075504303,0.024776236168690957,0.5669966787099838,0.16317920200526714,0.6556174010038376,0.16740634851157665,0.23729397263377905,0.053894368931651115,0.43845289945602417,0.7499237954616547,0.49585892260074615,0.8656122982501984,0.1385244857519865,0.15350882709026337,0.006753689325705636,0.5745718032121658,0.3837260926055656,0.870728075504303,9,4,0.7135063738435089,0.5186279636371094,23,"HIF1A(0.871), PTGS2(0.866), ALOX15(0.815), NOX4(0.750), KEAP1(0.656)",91
MOL007426,deoxyartemisinin,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32O4,0.7048558592796326,0.23489049379713833,0.1224248674698174,0.6340809166431427,0.028776113875210285,0.5977018624544144,0.41431474685668945,0.88106968998909,0.012315046566072851,0.5938941091299057,0.13233162462711334,0.6791196167469025,0.16171699902042747,0.2459598183631897,0.04828322376124561,0.48892466723918915,0.6344334781169891,0.6248368918895721,0.8396953344345093,0.07950226590037346,0.09354224428534508,0.0015294066397473216,0.5994105190038681,0.3849395563517211,0.88106968998909,10,3,0.7126629946373935,0.5176413070360687,23,"HIF1A(0.881), PTGS2(0.840), ALOX15(0.705), KEAP1(0.679), NOX4(0.634)",92
MOL007356,solanocapsine,C[C@H]1CN[C@@H]2[C@@H](C)[C@H]3[C@@H](C[C@H]4[C@@H]5CC[C@H]6C[C@@H](N)CC[C@]6(C)[C@H]5CC[C@]34C)O[C@@]2(O)C1,0.7057777047157288,0.2551393318353803,0.1660769490263192,0.6564147472381592,0.029620280209201155,0.6247638463973999,0.3955046012997627,0.911657065153122,0.0028043813072144985,0.4503941684961319,0.28541282564401627,0.45936194434762,0.19477113959146664,0.26409753304324113,0.08075969784840709,0.38350994884967804,0.5306289345026016,0.6067981719970703,0.7585786581039429,0.08814012352377176,0.07478006789460778,0.0008117367615341209,0.528258740901947,0.3675679390734054,0.911657065153122,8,3,0.7389618718898596,0.5169403053673965,23,"HIF1A(0.912), PTGS2(0.759), ALOX15(0.706), CTSB(0.656), DYRK1A(0.625)",93
MOL008845,Deoxycholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.8375082015991211,0.22620178161650983,0.1757542093109805,0.5937134474515915,0.04973663261625916,0.39350154250860214,0.3647308424115181,0.9207637012004852,0.0019417866133153439,0.5285366177558899,0.13021575286984444,0.5696597024798393,0.25965070015809033,0.27016932766127866,0.12661930415197276,0.27944039553403854,0.604449987411499,0.3854660466313362,0.8759151101112366,0.13327696174383163,0.10048090852797031,0.0007346837082877755,0.6185710579156876,0.3672625522603994,0.9207637012004852,8,3,0.7266268361817045,0.5156492702999558,23,"HIF1A(0.921), PTGS2(0.876), ALOX15(0.838), TLR4(0.619), NOX4(0.604)",94
MOL003225,Hypodiolide A,CC12CCC[C@]3(COC1=O)[C@@H]2CC[C@@]12C[C@@H](CC[C@H]13)[C@](C)(O)C2,0.7688769996166229,0.229085720013245,0.1156541210366413,0.5019107758998871,0.0201771161518991,0.5287804007530212,0.32332509011030197,0.8987943232059479,0.003280570381321013,0.5377749651670456,0.09478464722633362,0.5635126978158951,0.16336942405905575,0.237772683321964,0.049922448000870645,0.43241555243730545,0.616230696439743,0.531939223408699,0.8532319664955139,0.06406621262431145,0.06452363729476929,0.0006755683571100235,0.5823515057563782,0.35575897154669056,0.8987943232059479,10,3,0.7189386198343604,0.5152061783674607,23,"HIF1A(0.899), PTGS2(0.853), ALOX15(0.769), NOX4(0.616), TLR4(0.582)",95
MOL008978,Gomisin R,COc1c2c(cc3c1-c1c(cc4c(c1OC)OCO4)[C@H](O)[C@@H](C)[C@@H](C)C3)OCO2,0.8648769557476044,0.2735560887667816,0.06974082894157618,0.28848394751548767,0.012956930615473539,0.7169124484062195,0.25033996999263763,0.9169319272041321,0.006421979516744614,0.1574409008026123,0.10205520875751972,0.5051447600126266,0.07997912616701797,0.18352817484992556,0.014505550381727517,0.5002386942505836,0.7922944128513336,0.6963521540164948,0.834916353225708,0.03688106872141361,0.05076355021446943,0.0013065403909422457,0.4464702010154724,0.3392216422767176,0.9169319272041321,8,5,0.6854404462228849,0.5143205063897678,23,"HIF1A(0.917), ALOX15(0.865), PTGS2(0.835), NOX4(0.792), DYRK1A(0.717)",96
MOL002663,Skimmianin,Cn1c(=O)c2c(c3ccccc31)OC(C)(C)[C@@H](O)C2,0.632718563079834,0.32094161212444305,0.09098977060057223,0.4334094971418381,0.012544288241770118,0.8637565672397614,0.4537309408187866,0.8194538652896881,0.034901501960121095,0.42584314942359924,0.16330711729824543,0.4869968444108963,0.0937207811512053,0.20888417586684227,0.022185089997947216,0.7203722298145294,0.7319839000701904,0.8064646422863007,0.805221825838089,0.026556958444416523,0.03341806214302778,0.0023753571149427444,0.44547296315431595,0.37544563928310276,0.8637565672397614,7,6,0.6953916706061026,0.5139400236615052,23,"DYRK1A(0.864), HIF1A(0.819), PDE4B(0.806), PTGS2(0.805), NOX4(0.732)",97
MOL007425,dihydroartemisinin,C[C@H]1[C@@H](O)O[C@@H]2OC3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.7357168793678284,0.2500951542169787,0.12195364758372307,0.5345586240291595,0.029977595433592796,0.4905567020177841,0.3160824328660965,0.9113388955593109,0.003139726526569575,0.6562833935022354,0.11606452614068985,0.6361944228410721,0.15391252236440778,0.23564655636437237,0.046829820377752185,0.3853926882147789,0.5963806509971619,0.5382242053747177,0.8391465544700623,0.07006615027785301,0.083071269094944,0.0006963394698686898,0.6050142049789429,0.36331925922043057,0.9113388955593109,9,3,0.7166451531300964,0.5138020013337002,23,"HIF1A(0.911), PTGS2(0.839), ALOX15(0.736), IL1B(0.656), KEAP1(0.636)",98
MOL006272,9alpha-hydroxyfraxinellone-9-o-beta-d-glucoside,CN(CCc1ccccn1)CC[C@@H]1CN(C(=O)Cc2ccccc2)CC[C@H]1CC(=O)O,0.4635784588754177,0.31331931333988905,0.33017322421073914,0.8612392842769623,0.4548673927783966,0.31630951492115855,0.4147011786699295,0.7779398858547211,0.018906061945017427,0.5768273770809174,0.36201668716967106,0.8251124322414398,0.3435964956879616,0.59872105717659,0.2590791391558014,0.18987762555480003,0.43019997188821435,0.4400482475757599,0.6356995403766632,0.269730310421437,0.32586356718093157,0.019692979287356138,0.40413933992385864,0.4187669167649406,0.8612392842769623,6,3,0.7848484485750733,0.5136609933650143,23,"CTSB(0.861), KEAP1(0.825), HIF1A(0.778), PTGS2(0.636), LGMN(0.599)",99
MOL011930,vitetrifolin d,C=CC(C)(O)CC[C@@]1(C)C2=C([C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1C)C(C)(C)CCC2,0.756982296705246,0.1846974002837669,0.11927867529448122,0.62482088804245,0.02296297042630613,0.5732933282852173,0.366522453725338,0.8870344161987305,0.005734915641369298,0.5166704207658768,0.11148153245449066,0.5420840382575989,0.20227966192760505,0.2439300729893148,0.07144112675450742,0.44948315620422363,0.5886706858873367,0.6076412498950958,0.8565069139003754,0.07137258909642696,0.06771046109497547,0.0008058813255047426,0.5585043877363205,0.3665178053431547,0.8870344161987305,10,3,0.7183737225733866,0.5130871353420544,23,"HIF1A(0.887), PTGS2(0.857), ALOX15(0.757), CTSB(0.625), PDE4B(0.608)",100
MOL008217,Paniculogenin,C[C@@H]1CO[C@@]2(O[C@H]3C[C@H]4[C@@H]5C[C@H](O)[C@H]6C[C@@H](O)CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]2C)[C@@H](O)C1,0.8232641518115997,0.23789419310924131,0.11431035179703031,0.4576933979988098,0.02164736264239764,0.6615671217441559,0.35635892301797867,0.9289432764053345,0.0030090489890426397,0.5411231517791748,0.2191062867641449,0.47547513619065285,0.15437502990243956,0.22575905709527433,0.0484954850981012,0.43852682411670685,0.6975173056125641,0.5445113480091095,0.8215444386005402,0.056616040877997875,0.041923015378415585,0.0004936723125865683,0.538884848356247,0.36561041163519764,0.9289432764053345,8,3,0.7125657449431073,0.5114662545356949,23,"HIF1A(0.929), ALOX15(0.823), PTGS2(0.822), NOX4(0.698), DYRK1A(0.662)",101
MOL003744,belamcandal,COC(=O)[C@H](C)CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,0.839219331741333,0.22168900571705308,0.14336333540268242,0.5097445473074913,0.043953268555924296,0.39539505541324615,0.32986676692962646,0.9512967467308044,0.0016495799645781517,0.3821178004145622,0.0923645868897438,0.6239598095417023,0.22787961305584759,0.24678444224991836,0.09188290336169302,0.28462759032845497,0.637582078576088,0.48540833592414856,0.8545535802841187,0.0997097585350275,0.08223096653819084,0.0007829660607967526,0.6044827103614807,0.35437151216889184,0.9512967467308044,7,3,0.7188368713306668,0.5102781812058202,23,"HIF1A(0.951), PTGS2(0.855), ALOX15(0.839), NOX4(0.638), KEAP1(0.624)",102
MOL000224,"(4E,6E)-1,7-bis(3,4-dihydroxyphenyl)hepta-4,6-dien-3-one",CO[C@H]1/C=C/[C@@](C)(O)CCC(=O)O[C@H](C)[C@@H](C)C[C@@H](O)/C=C/1C,0.678100973367691,0.20125212240964174,0.07528521225322038,0.5804683268070221,0.00905313843395561,0.7431004643440247,0.5426602810621262,0.746103972196579,0.07483801830676384,0.2242775335907936,0.09603920765221119,0.6083803027868271,0.12203071569092572,0.2216314827091992,0.029409790877252817,0.7368634343147278,0.6960062682628632,0.5809505581855774,0.8659200966358185,0.06296995282173157,0.040732450783252716,0.007849481247831136,0.4328122213482857,0.3642059133081879,0.8659200966358185,10,4,0.7048682181657857,0.5102105651501158,23,"PTGS2(0.866), HIF1A(0.746), DYRK1A(0.743), MAPK1(0.737), NOX4(0.696)",103
MOL005656,Glycozolidal,COc1ccc2[nH]c3cc(OC)c(C=O)cc3c2c1,0.7102410793304443,0.20492310836561956,0.04303785788579262,0.3150867074728012,0.0026146389304813056,0.9199938476085663,0.3291184902191162,0.7633397579193115,0.02111990591220092,0.06498806737363338,0.07279322855174541,0.3522631200030446,0.056700740149608464,0.18056050887389574,0.007664159944397397,0.7339317500591278,0.6697420477867126,0.7931519746780396,0.8010634481906891,0.012964366003870964,0.02047006133943796,0.0007675917222513817,0.2740776911377907,0.31959191954167737,0.9199938476085663,7,6,0.6810741108593192,0.5093062100662257,23,"DYRK1A(0.920), PTGS2(0.801), PDE4B(0.793), HIF1A(0.763), MAPK1(0.734)",104
MOL002614,Flavidin,Oc1cc2c3c(c1)COc1cc(O)cc(c1-3)CC2,0.8660400211811066,0.20517899532569572,0.051650619901920436,0.45833832025527954,0.0037737064667453524,0.8395996391773224,0.39170944690704346,0.8959993720054626,0.0317010217695497,0.14709141105413437,0.277478308416903,0.5003196075558662,0.07528563891537488,0.18275942018954083,0.012360010179691017,0.657098799943924,0.8528462946414948,0.5761963278055191,0.8544338941574097,0.03405254427343607,0.02472017053514719,0.0019921441344195046,0.3775211088359356,0.36165855754908355,0.8959993720054626,8,5,0.6761382525632131,0.507257758124434,23,"HIF1A(0.896), ALOX15(0.866), PTGS2(0.854), NOX4(0.853), DYRK1A(0.840)",105
MOL007064,przewalskin b,CC(C)C1=C[C@]23CCC4C(=CCCC4(C)C)[C@H]2OC(=O)[C@]3(O)C1=O,0.8992972671985626,0.20868279034903026,0.13360965214087628,0.532861515879631,0.025550260674208403,0.380022294819355,0.3034679489210248,0.9320384562015533,0.0011119536065962166,0.5548627078533173,0.1583637222647667,0.52474370226264,0.2247176136879716,0.24879353732103482,0.07795285963220522,0.25854490511119366,0.5900580286979675,0.33639048784971237,0.8637025356292725,0.10526955872774124,0.08742672577500343,0.0004593948251567781,0.5821587294340134,0.34913420212447105,0.9320384562015533,8,3,0.7190909316706653,0.5065551212399116,23,"HIF1A(0.932), ALOX15(0.899), PTGS2(0.864), NOX4(0.590), TLR4(0.582)",106
MOL008229,Andrographin F,COc1cccc(NC(=O)[C@H]2[C@H]3C=C[C@@]4(O3)[C@H]2C(=O)N(C2CCCCCC2)[C@@H]4C(=O)N[C@@H]2CCCC[C@H]2C)c1,0.5889639258384705,0.3395676774671301,0.22330300691101002,0.8545722961425781,0.13023690762929618,0.3615713231265545,0.41648610681295395,0.9128938913345337,0.00793212279677391,0.649284690618515,0.3367321789264679,0.6933095008134842,0.2530428784666583,0.35794902592897415,0.12513320680591278,0.3392958343029022,0.47330649569630623,0.4733806550502777,0.6435586512088776,0.17133470252156258,0.10991377104073763,0.0039204312197398394,0.5215694755315781,0.39075038070396934,0.9128938913345337,7,2,0.7533264393147514,0.5040182948615053,23,"HIF1A(0.913), CTSB(0.855), KEAP1(0.693), IL1B(0.649), PTGS2(0.644)",107
MOL002281,Toralactone,COc1cc(O)c2c(O)c3c(=O)oc(C)cc3cc2c1,0.7238602638244629,0.19753660046262667,0.036674972272294326,0.3079856336116791,0.0028251627142665825,0.8931257724761963,0.3372279703617096,0.832730770111084,0.015193653613096103,0.05184209905564785,0.10427366849035025,0.40090659353882074,0.05009252660238417,0.15471546308981488,0.006205867117387243,0.7363739013671875,0.7629344165325165,0.7065350413322449,0.8131192326545715,0.005026319879107177,0.00795620382996276,0.0003874464273394551,0.06644125655293465,0.3136509059094646,0.8931257724761963,7,7,0.6708676478871279,0.5014327066281206,23,"DYRK1A(0.893), HIF1A(0.833), PTGS2(0.813), NOX4(0.763), MAPK1(0.736)",108
MOL000336,futoquinol,CCC(/C=C/C(C)=O)CCC[C@]1(CC)C[C@H](CC)[C@H](CC(=O)O)OO1,0.6662122756242752,0.2490755085627825,0.19564602011814713,0.5823218077421188,0.09348657727241516,0.35206226725131273,0.34955575224012136,0.8860341906547546,0.0018559186719357967,0.3350925091654062,0.12588293745648116,0.8031471073627472,0.27885615326704283,0.2854205678595463,0.14942508974127122,0.25869941152632236,0.5016057640314102,0.5254455357789993,0.8961460888385773,0.13876058533787727,0.1274093072861433,0.0012085539201507345,0.6714148223400116,0.3684680326978196,0.8961460888385773,8,3,0.7330336124945199,0.5010524018789216,23,"PTGS2(0.896), HIF1A(0.886), KEAP1(0.803), TLR4(0.671), ALOX15(0.666)",109
MOL003584,Xanthoxylin N,COc1cc2oc3cccc(O)c3c(=O)c2cc1O,0.8138331174850464,0.1896485830002348,0.026346503713767788,0.3121729642152786,0.0019535557762750955,0.9031404852867126,0.20495491474866867,0.8379091322422028,0.005836035779793747,0.04242979397531599,0.13321820413693786,0.3794275268446654,0.04034958516285769,0.14042491270629398,0.004185713852166373,0.7206501364707947,0.7140997350215912,0.7547237575054169,0.8230791389942169,0.0038277796702459455,0.004162918485235423,8.153464295901358e-05,0.06253920122981071,0.30952153178028213,0.9031404852867126,7,7,0.662624170277178,0.5009111493742424,23,"DYRK1A(0.903), HIF1A(0.838), PTGS2(0.823), ALOX15(0.814), PDE4B(0.755)",110
MOL005230,lathyrol,C=C1CC[C@H]2[C@@H](/C=C(/C)C(=O)[C@@]3(O)C[C@H](C)[C@H](O)[C@@H]3[C@H]1O)C2(C)C,0.7982347905635834,0.1980378566076979,0.09020441770553589,0.5987051129341125,0.013617118587717414,0.5111043155193329,0.3481367230415344,0.8985624611377716,0.009075583962840028,0.6249557137489319,0.17509899474680424,0.6710903495550156,0.15208398643881083,0.2322454359382391,0.04018819145858288,0.4797354191541672,0.6776885688304901,0.4630143642425537,0.8551130890846252,0.06548701971769333,0.04403937608003616,0.001563797726703342,0.5121292397379875,0.3678309533269899,0.8985624611377716,9,3,0.7069656502936379,0.5001580976209268,23,"HIF1A(0.899), PTGS2(0.855), ALOX15(0.798), NOX4(0.678), KEAP1(0.671)",111
MOL006448,isocolumbin,C[C@]12C[C@H](c3ccoc3)OC(=O)[C@@H]1CC[C@@]1(C)[C@@H]2[C@@H]2C=C[C@@]1(O)C(=O)O2,0.7147508859634399,0.2507523652166128,0.08746194280683994,0.3976341634988785,0.01785259647294879,0.6982194185256958,0.36701130867004395,0.8629125356674194,0.024551121256081387,0.5455755442380905,0.25531067606061697,0.6160048842430115,0.10368752293288708,0.20065418910235167,0.03428930137306452,0.6278892457485199,0.7168833613395691,0.6901265978813171,0.8126782476902008,0.038219538517296314,0.0420926483348012,0.0042227604644722305,0.4522836208343506,0.3722201946451526,0.8629125356674194,9,4,0.7074965979977543,0.4999595499716931,23,"HIF1A(0.863), PTGS2(0.813), NOX4(0.717), ALOX15(0.715), DYRK1A(0.698)",112
MOL001339,GA119,CO[C@@H]1C=C[C@]2(c3cc4c(cc3CO)OCO4)[C@H](C1)N(C)C[C@@H]2O,0.684490293264389,0.31332820001989603,0.15369865200773347,0.5741434395313263,0.034762641953420825,0.8671461343765259,0.4167192131280899,0.6712523996829987,0.050550811691209674,0.5669162720441818,0.3242299109697342,0.3899913625791669,0.1478539063828066,0.26024780608713627,0.04596025077626109,0.6381405293941498,0.6093166172504425,0.7532414495944977,0.7009375393390656,0.05689381994307041,0.06757998373359442,0.0023982941638678312,0.3241267129778862,0.3762576626474544,0.8671461343765259,9,3,0.7310116546857716,0.4973013575388969,23,"DYRK1A(0.867), PDE4B(0.753), PTGS2(0.701), ALOX15(0.684), HIF1A(0.671)",113
MOL002395,Deoxyandrographolide,CC1=C(CCC2=CCOC2=O)[C@]2(C)CC[C@@H](O)[C@@](C)(CO)[C@H]2CC1,0.8616540431976318,0.23486806481378153,0.1705153762595728,0.6007064133882523,0.04889629944227636,0.3817327134311199,0.34659459814429283,0.8882530331611633,0.005566814565099776,0.6128509640693665,0.17792603373527527,0.6353843361139297,0.24974336405284703,0.2688121902756393,0.11279180203564465,0.30661823600530624,0.6489760130643845,0.34172896295785904,0.8783875703811646,0.1713453158736229,0.14106204360723495,0.0020033150212839246,0.6304027438163757,0.37899218467013585,0.8882530331611633,8,3,0.7241850859499519,0.49623360340258804,23,"HIF1A(0.888), PTGS2(0.878), ALOX15(0.862), NOX4(0.649), KEAP1(0.635)",114
