"X8","X14","X5","X2","X6","X1","X16","X9","X10","X11","X3","X13","X15","X12","X4","X7","X0","Gene"
-0.484464725564511,-0.185383560581278,-0.819981163552239,-0.523097813468019,-0.64009867008675,0.924837922629687,0.459406518540312,0.158293913557523,0.244546769921619,-0.22018125051011,0.0310365168522798,-0.118194335627307,0.00946401734210619,-0.105667845892313,-0.482904460001515,-0.333786961546844,0.0577027727808013,"ILMN_1680192"
-0.589098522640378,0.0089035268443777,-0.693905759654262,-0.280666602005806,-0.529507194067007,0.948483279515828,0.369469389448658,0.181025004809594,0.0372368332009324,-0.34451821155769,-0.212936074163905,-0.119935553217895,-0.1356040427825,-0.308526869538383,-0.631331249519912,-0.407006355320902,-0.143082393771785,"ILMN_2105253"
-0.49510484857095,-0.158238978182211,-0.766508532101481,-0.556723370508333,-0.661830442962586,0.922040792832019,0.58175007933425,0.0222902251511072,0.126091586293232,-0.263467542052066,0.0148875316433897,-0.175282613728835,-0.048079038395461,-0.143977289097527,-0.422907958426203,-0.24681266399376,0.00938989078469066,"ILMN_2134453"
-0.55985910330151,-0.154435169995472,-0.696096550974414,-0.478636770988625,-0.645453391540497,0.9054491257963,0.600861575845832,0.0576808512431207,0.0630756757406122,-0.31384221967103,-0.0902736815082786,-0.233378049770186,-0.0493201876711444,-0.133608086502234,-0.436397438686548,-0.225241094161112,0.00324373506084471,"ILMN_2091846"
-0.588834195180784,-0.000493062883088555,-0.600818078900524,-0.304343086144281,-0.540724383573018,0.885938537105577,0.482431446021829,0.114244023968954,-0.0189936723878467,-0.312505978422254,-0.239930928474745,-0.299635932721941,-0.127582772080981,-0.245604864065119,-0.521796518049458,-0.287789793346736,-0.0541462887350371,"ILMN_2222688"
-0.615197319859116,-0.0161792493784739,-0.640662002082583,-0.283726576096888,-0.550106379316939,0.945291015978484,0.430927508994973,0.201750379301613,0.0418578556306992,-0.31720955440033,-0.250835022600741,-0.308496814960945,-0.151841559663398,-0.282513540831666,-0.61120749994887,-0.364235922965268,-0.0113266282631875,"ILMN_2398474"
-0.197747173233738,-0.28586985186821,-0.0179254863380955,-0.39879527419082,-0.368904670493339,0.0721893872828668,0.325308775354022,-0.248824747803715,-0.0222754209862452,-0.153740032023192,0.105916244634666,0.34076206798252,0.186850320046524,0.276583225914509,0.263956112968652,0.420620271554135,0.0334940912631567,"ILMN_1733559"
-0.063776042895909,0.243270562554595,0.0960108456726249,0.0802431098589707,0.0159400046191499,-0.0710131272751825,0.0259184617040203,0.0298357575433866,-0.0381650097668946,0.224409370525681,-0.11915675912032,-0.235553030414057,-0.235898190226372,-0.109209001002151,0.088610365666562,0.0393144863957637,-0.0875611836925107,"ILMN_1716733"
0.39354371666352,-0.389302206274207,0.209030133273863,-0.356176563903941,0.0287215908647839,-0.491109631433668,0.492258298492651,-0.542394857928815,-0.177216395131184,0.0715498566854919,0.286000231254869,0.156864116106425,0.194388819849818,0.606351404610376,0.877243652521527,0.48963711145915,-0.0216234763753587,"ILMN_1772809"
-0.585078863477997,-0.0959561492484367,-0.766257548002626,-0.406518424630249,-0.630903339691151,0.970023278076155,0.439593258228297,0.218297447797141,0.196370728625911,-0.317923665537189,-0.0793695866119105,-0.198877033306441,-0.0986603919191682,-0.263881271288564,-0.593667526519941,-0.359196754819085,-0.00438406362330273,"ILMN_2183216"
